PaymentType,Product,hard drive,PostalCode,system,Department,Address,Quantity,State,feed,Date,sensor,City,capacitor,capacitor,transmitter,CustomerName,Total,Gender,transmitter,array,Time,Store,InvoiceId,ProductPrice
"Visa","Incredible Steel Computer","bypass",77512,true,"Baby & Jewelery","6503 Libbie Harbor",3,"VT",false,"8-24-2021",2996421,"Omaton",63.04,25.49,76.12,"Pedro Berge",135.96,"Female",12.10,false,"11:45:7","Armstrong, Strosin and Altenwerth",103662,45.32
"Cash","Awesome Steel Gloves",false,50411,"transmitting","Clothing & Beauty","849 Kuhn Turnpike",7,"HI",4575348,"3-24-2021",6593178,"Lake Araceli",false,false,48.98,"Zita Schimmel",266.77,"Female",82.58,"parse","5:25:16","Considine PhD",574742,38.11
"Cash","Fantastic Wooden Shirt",8104906,91302,true,"Games, Tools & Clothing","687 Dibbert Wells",5,"IA","connect","7-27-2021",true,"New Arthurfort",false,false,"bus","Kennedy Johns",428.95,"Male","1080p","HDD","19:21:52","Larkin-McClure",864021,85.79
"AMEX","Fantastic Rubber Shirt","synthesize",80972,false,"Shoes & Industrial","3293 Brakus Common",7,"MT",1308931,"9-17-2021","navigating","Gerlachview",28.23,90.60,2937014,"Etha Torp",78.61,"Female",3695227,"haptic","15:5:38","Kshlerin DDS",448822,11.23
"Visa","Practical Concrete Chair",true,16451,492668,"Beauty","734 Vance Meadow",6,"MD",292066,"5-22-2021",7.78,"South Cadeberg",70.75,57.74,true,"Magdalena Monahan I",485.52,"Male",false,33.20,"18:52:57","Auer V",897161,80.92
"MasterCard","Intelligent Granite Chair","input",12025,"JBOD","Garden","272 Jessica Fall",8,"VA","THX","10-17-2021",6532624,"West Mervin",11.65,70.96,true,"Albina Smith",684.64,"Male",false,59.43,"20:10:42","Kuphal, Spencer and Blanda",683095,85.58
"Visa","Fantastic Granite Hat","navigating",99534,1121102,"Beauty","84667 Schuppe Rue",8,"WY",68.34,"9-8-2021",true,"Jacobiborough",81.84,44.20,true,"Brianne Legros",214.00,"Male",true,5244292,"11:16:28","Auer V",205500,26.75
"Visa","Rustic Wooden Chair",996515,20583,454916,"Baby","57651 Sebastian Cliff",5,"OR",7022928,"10-23-2021",6574807,"Garthfort",4492979,3527574,"XSS","Manley Jones",68.90,"Male","bandwidth",5148225,"17:29:56","Larkin-McClure",967164,13.78
"MasterCard","Awesome Rubber Hat",8563475,57317,"COM","Clothing, Shoes & Jewelery","2991 Sabryna Extension",10,"OK",true,"2-23-2021","multi-byte","North Sonya",true,true,8570340,"Verona Witting",837.00,"Male",7776071,50.29,"7:51:14","Lakin, O'Connell and Monahan",461340,83.70
"AMEX","Gorgeous Plastic Hat",6558263,80818,false,"Home, Books & Movies","26442 Dickens Trafficway",3,"TX","parsing","9-9-2021",6123838,"East Julianneport","hard drive","panel",9456803,"Destin Collier Jr.",248.79,"Female",8913512,"haptic","17:47:42","Armstrong, Strosin and Altenwerth",123150,82.93
"AMEX","Intelligent Concrete Shirt",60.46,51771,true,"Clothing & Industrial","9770 Shayna Islands",2,"LA",false,"8-18-2021",9.23,"Lake Koryshire",true,true,true,"Mr. Paxton Quigley",199.80,"Male",true,7.60,"12:54:6","Wiegand-Tillman",424184,99.90
"Cash","Fantastic Cotton Hat",60.68,74930,484190,"Books, Toys & Home","799 Dianna Mountain",6,"NY",false,"6-3-2021",9.76,"Chelseastad",69.78,32.31,22.39,"Gail Cummerata",355.86,"Male",45.41,"CSS","17:50:35","Lakin, O'Connell and Monahan",458754,59.31
"EWallet","Rustic Rubber Shoes","index",68006,21.02,"Beauty & Home","542 Farrell Knoll",2,"IL","navigate","8-23-2021",2282243,"Blakehaven",5807896,4529096,6884851,"Mrs. Cristopher Marks",173.16,"Female",2378519,"reboot","10:49:39","Larkin-McClure",769853,86.58
"AMEX","Practical Concrete Shirt",false,50829,"navigate","Electronics & Toys","758 Julian Hollow",2,"RI","neural","10-23-2021",false,"North Kara","connecting","transmit",52.50,"Nedra Kessler",160.12,"Female",49.05,5718383,"12:23:30","Kshlerin DDS",585247,80.06
"Visa","Incredible Rubber Computer",1528400,84712,false,"Home","498 DuBuque Valleys",2,"HI",true,"7-12-2021",83.93,"Walshview",7.61,97.54,3260919,"Chance Predovic PhD",182.94,"Female",6500786,true,"3:14:20","Considine PhD",526749,91.47
"MasterCard","Intelligent Concrete Shoes",51.73,83151,true,"Tools","25276 Reid View",5,"KY",false,"10-1-2021",97.67,"Lake Jalon",false,true,true,"Heloise Conroy",145.25,"Female",false,23.09,"4:3:44","Armstrong, Strosin and Altenwerth",282663,29.05
"MasterCard","Incredible Granite Gloves",9.24,87425,false,"Beauty","3529 Harris Isle",4,"NH",false,"7-2-2021",58.00,"Eliseoland",false,false,70.23,"Enrique Hegmann",360.24,"Female",6.58,"parsing","5:50:45","McClure, Block and Franecki",816448,90.06
"Visa","Ergonomic Steel Car",83.01,10206,"virtual","Baby","94053 Purdy Flat",3,"CO",true,"8-17-2021",6429777,"West Kane",4041807,3209403,3803185,"Ms. Allene Lubowitz",105.39,"Female",3706767,6214480,"11:32:54","Auer V",938100,35.13
"AMEX","Fantastic Concrete Chair","firewall",76199,true,"Industrial","710 Marley Highway",6,"AK",1299208,"10-1-2021","open-source","Ritchieberg",5204450,1485810,"navigate","Mrs. General Greenholt",449.34,"Female","backing up",3312846,"11:9:16","Kshlerin DDS",525707,74.89
"EWallet","Sleek Steel Pants","SAS",78946,39.46,"Movies","308 Morissette Bridge",7,"OR",9438366,"4-19-2021","transmitting","Lake Mara",6046585,2584654,"generating","Taryn Bergstrom",76.37,"Female","redundant","override","7:44:39","Considine PhD",553367,10.91
"AMEX","Fantastic Rubber Hat",7196694,43087,true,"Home, Movies & Sports","163 Gislason Roads",5,"NM",false,"10-18-2021",false,"Terrymouth",false,false,true,"Mr. Amina Stark",488.15,"Male",true,58.11,"15:25:46","Wiegand-Tillman",325334,97.63
"AMEX","Small Rubber Shoes",11.13,15953,73.46,"Electronics & Kids","181 Herman Inlet",4,"MI",94.21,"10-12-2021","panel","Kobeshire",19.53,82.38,32.22,"Jamarcus Beer",215.16,"Male",95.99,false,"2:22:15","Considine PhD",896860,53.79
"AMEX","Gorgeous Granite Shirt","connect",66610,70.55,"Automotive & Baby","1335 Jacobson Ranch",8,"UT",true,"9-10-2021",57.26,"Hahntown",9223525,973792,"copying","Talia Morissette",328.80,"Male","neural",55.31,"13:57:48","Larkin-McClure",691291,41.10
"Cash","Gorgeous Wooden Chair",2527762,28243,"driver","Baby & Kids","881 Assunta Square",9,"OK",27.83,"10-8-2021","firewall","Gertrudeview",50.43,13.36,4666786,"Angie Brown",512.01,"Female",7593277,4065533,"12:47:42","Considine PhD",630090,56.89
"EWallet","Sleek Wooden Car","microchip",75776,6949905,"Kids, Computers & Toys","1002 Mariela Motorway",4,"NC",8502442,"9-21-2021",57.33,"East Lauren","XSS","GB",6.08,"Verner Hoppe",285.92,"Female",41.97,true,"7:49:2","Auer V",922488,71.48
"AMEX","Sleek Granite Hat",42.09,91738,4043604,"Baby","339 Green Cliffs",9,"TX",true,"10-12-2021",90.88,"North Tyriqueport",51.29,40.73,3.50,"Mr. Carlo Paucek",783.99,"Female",39.47,89.69,"23:35:27","Kuphal, Spencer and Blanda",618101,87.11
"Visa","Ergonomic Rubber Car",39.20,28398,48.51,"Grocery, Baby & Sports","7232 Cole Cove",3,"OR",63.41,"5-13-2021",4796439,"North Erich",22.62,85.59,2907464,"Nella Runte",23.73,"Male",4553031,"back up","13:6:37","Auer V",136661,7.91
"Cash","Small Cotton Gloves","JBOD",22353,"wireless","Toys","947 Desiree Garden",3,"SC",false,"10-13-2021",3513735,"West Freddietown",7948771,1058732,"generating","Dayne Stiedemann",49.20,"Female","array",false,"13:6:7","Parisian, Wolff and Gorczany",100054,16.40
"EWallet","Ergonomic Wooden Table","HDD",58320,5973575,"Jewelery","362 Harvey Squares",7,"MD",6775118,"10-16-2021","compressing","Brandoview",4269335,389701,"monitor","Jerad Osinski PhD",122.92,"Female","programming",46.94,"18:41:21","Larkin-McClure",225912,17.56
"AMEX","Rustic Granite Pants",33.39,86101,true,"Toys & Home","8900 Herzog Ferry",9,"MO",true,"9-19-2021",82.82,"New Lamar",45.54,31.80,95.05,"Ceasar Daugherty",492.39,"Male",18.13,8.27,"18:32:1","Lakin, O'Connell and Monahan",369920,54.71
"Visa","Gorgeous Rubber Hat",false,60945,93.88,"Games, Computers & Music","2485 Khalil Alley",9,"KS","circuit","5-9-2021",80.31,"Carrollfurt",42.66,93.03,true,"Petra Moore",820.62,"Male",false,false,"7:58:5","Larkin-McClure",975776,91.18
"AMEX","Ergonomic Concrete Shoes",2886395,37157,"parsing","Garden & Sports","625 Carter Freeway",4,"TN",89.99,"10-24-2021",40.53,"East Dorotheahaven","XML","quantify",26.43,"Larue Kub",203.96,"Male",49.88,"navigate","15:47:13","Considine PhD",307390,50.99
"AMEX","Gorgeous Cotton Car","navigating",36988,"solid state","Kids, Movies & Tools","530 Schulist Hill",9,"CA",97.29,"10-25-2021","synthesize","Lake Roman",6.86,70.01,5354165,"Dr. Alison O'Reilly",787.77,"Male",8628478,"redundant","3:10:20","Considine PhD",688845,87.53
"MasterCard","Rustic Granite Computer",68.65,73179,false,"Computers","33891 Schuppe Loop",6,"CO",true,"9-3-2021","transmit","Shieldston",53.67,3.94,false,"Donnie Bashirian",440.70,"Male",false,"bypass","3:8:53","Armstrong, Strosin and Altenwerth",897091,73.45
"Visa","Sleek Concrete Computer",9087368,69227,"firewall","Beauty, Kids & Movies","58246 Ima Via",10,"NE",false,"8-20-2021",90.54,"Korbinmouth",false,true,63.47,"Adaline Herman",71.70,"Male",26.64,true,"15:46:29","Kuphal, Spencer and Blanda",592683,7.17
"Cash","Small Cotton Shoes",true,44467,false,"Toys, Books & Garden","585 Eli Squares",8,"NM",7459065,"6-5-2021",88.32,"East Savanna",true,false,8435715,"Ms. Beverly Runolfsdottir",693.52,"Female",8334716,86.96,"5:47:31","McClure, Block and Franecki",180378,86.69
"AMEX","Intelligent Plastic Gloves","transmit",55512,6085162,"Toys & Music","39495 Juston Lane",2,"AZ",true,"5-4-2021","matrix","Croninhaven",6816437,1550576,34.10,"Dejah Cronin",0.88,"Female",57.92,8887801,"16:11:39","Kshlerin DDS",917180,0.44
"Cash","Practical Cotton Computer",6.69,53496,3802687,"Outdoors","1217 Cordie Place",4,"TX",1937842,"7-12-2021",4391616,"Blickburgh",3577647,2068055,5347398,"Betsy Boyer",24.56,"Female",4448948,true,"9:49:1","Kuphal, Spencer and Blanda",324456,6.14
"AMEX","Gorgeous Steel Gloves","navigate",90444,false,"Electronics, Garden & Kids","6316 Gaylord View",10,"DE",6891139,"6-2-2021",true,"Davinborough",true,false,true,"Jerod Yost",142.60,"Female",true,true,"17:8:4","Kshlerin DDS",227142,14.26
"EWallet","Ergonomic Cotton Table",false,59183,90.78,"Home, Clothing & Electronics","13540 Kunde Vista",2,"OK",8896475,"8-25-2021","calculating","Emmettmouth","calculating","protocol",65.17,"Kaley Morar",65.34,"Female",85.51,75.23,"2:26:2","Armstrong, Strosin and Altenwerth",148838,32.67
"Visa","Intelligent Cotton Shirt",0.87,19318,64.22,"Music","70738 Cartwright Walk",6,"MS",true,"10-22-2021",50.01,"Dominiquetown",9.77,72.51,true,"Dorris Dare",285.78,"Male",true,8237836,"13:50:46","McClure, Block and Franecki",168287,47.63
"Cash","Sleek Concrete Hat",20.99,52965,true,"Industrial & Computers","228 Lindgren Ports",7,"KS",7893679,"10-15-2021","online","Wunschberg",33.82,95.77,"cross-platform","Roman Effertz",260.68,"Female","synthesize",1268466,"3:25:10","Wiegand-Tillman",951801,37.24
"AMEX","Gorgeous Wooden Computer",7190865,66955,9141542,"Grocery, Sports & Electronics","1894 Spencer Wall",1,"MS",80.52,"6-7-2021",7203159,"Port Sadie",945143,6220688,4016454,"Angie Cummings II",44.44,"Male",7479637,"connecting","19:36:53","Lakin, O'Connell and Monahan",507052,44.44
"Cash","Incredible Plastic Computer",8182427,21320,"transmit","Tools, Games & Toys","87097 Eleanora Centers",2,"CO",5.30,"10-17-2021",40.46,"Port Tinafort",false,true,"HTTP","Hudson Douglas Jr.",60.12,"Male","bypassing",true,"1:46:51","Wiegand-Tillman",611372,30.06
"EWallet","Incredible Cotton Shirt","primary",30358,14.99,"Tools","806 Treutel Ferry",3,"VA",51.32,"10-1-2021",6042218,"Goldnerchester",7538528,6387135,13.43,"Alden Ledner",112.11,"Male",49.39,true,"7:7:43","Parisian, Wolff and Gorczany",844718,37.37
"EWallet","Incredible Concrete Shirt",true,96738,true,"Automotive & Grocery","4056 Mraz Center",9,"AZ",48.39,"5-24-2021",true,"Mollyport",false,false,false,"Mrs. Marques VonRueden",793.98,"Male",true,5369924,"16:51:21","Kshlerin DDS",458075,88.22
"MasterCard","Rustic Concrete Table",49.42,59824,85.19,"Automotive, Computers & Games","553 Alverta Drive",5,"IA",6236261,"9-24-2021",false,"West Vallie",258600,6772036,true,"Samantha Langosh",398.60,"Female",true,"synthesizing","17:19:58","Parisian, Wolff and Gorczany",783108,79.72
"AMEX","Fantastic Wooden Car",46.89,71965,"bandwidth","Grocery, Baby & Tools","64052 Ada Shore",3,"NM","transmit","9-26-2021",68.65,"Funkburgh",112757,8102896,8597340,"Abdul Marquardt",199.59,"Female",1668939,"open-source","14:0:41","Larkin-McClure",551089,66.53
"Cash","Gorgeous Cotton Shirt",53.40,48484,"generate","Garden, Baby & Toys","8020 Casper Oval",10,"ME",true,"10-21-2021","panel","East Omerhaven","hacking","port",4.44,"Emanuel Herman",228.90,"Female",27.90,false,"10:11:35","Auer V",574446,22.89
"EWallet","Rustic Granite Table",86.78,81189,36.63,"Beauty, Tools & Clothing","8976 Kyleigh Centers",8,"RI",72.96,"10-22-2021",true,"Aufderharmouth",86.57,46.29,8.26,"Calista Hickle",196.88,"Female",44.60,94.87,"3:16:36","Auer V",405023,24.61
"Cash","Intelligent Granite Hat",20.09,99514,true,"Games & Music","1111 Stokes Knoll",3,"PA",true,"7-16-2021",66.89,"East Lambertton",29.46,92.11,false,"Miss Walton Mohr",117.39,"Female",true,"virtual","21:16:19","Kshlerin DDS",797502,39.13
"EWallet","Small Rubber Pants",true,42946,80.50,"Games, Garden & Clothing","109 Emmerich Meadows",10,"MI",false,"10-21-2021",67.01,"East Kyla","indexing","calculating","hack","Ceasar McClure",62.60,"Male","JSON",99.00,"21:34:42","Lakin, O'Connell and Monahan",411902,6.26
"AMEX","Ergonomic Concrete Chair",5082470,52398,7374345,"Beauty, Automotive & Books","849 Spencer Walk",8,"IN",2778580,"2-16-2021","XML","Collierstad",191145,8315937,12.79,"Pansy Breitenberg Jr.",75.92,"Female",36.59,"navigate","16:33:43","Armstrong, Strosin and Altenwerth",723213,9.49
"Visa","Intelligent Steel Computer",false,87766,84.39,"Kids, Electronics & Clothing","372 Cartwright Glen",10,"MO",7314856,"2-16-2021",true,"West Jacques",7198014,3295094,4451339,"Mrs. Aliyah Hackett",891.10,"Female",2817180,3853144,"2:46:8","Auer V",468884,89.11
"MasterCard","Intelligent Concrete Shoes",true,17549,false,"Clothing, Electronics & Kids","4766 Yesenia Crest",1,"RI","multi-byte","8-8-2021",68.19,"Lontown","optical","generate",true,"Dolly Collins",30.07,"Female",false,true,"3:52:22","Auer V",979847,30.07
"Cash","Ergonomic Plastic Chair",true,17623,false,"Grocery & Computers","2655 Colt Junction",5,"IN",true,"6-20-2021","transmitting","Marquardtport",17.86,81.13,41.16,"Marjolaine Corwin",70.35,"Female",77.07,false,"16:56:59","Parisian, Wolff and Gorczany",639472,14.07
"Visa","Small Granite Pants",true,65938,false,"Books","5118 Buckridge Wells",4,"OH",2976240,"5-30-2021","sensor","Elishire",24.83,74.29,8859484,"Lottie Nienow",20.36,"Female",7215017,"compressing","8:7:58","McClure, Block and Franecki",735018,5.09
"EWallet","Awesome Plastic Gloves",12.92,53950,"quantify","Tools","683 Lauryn Dam",1,"KY",true,"10-10-2021","hacking","Weberfurt",true,false,6009063,"Halle Lang",96.02,"Female",3975652,"index","10:41:28","Kuphal, Spencer and Blanda",862367,96.02
"EWallet","Sleek Plastic Shirt",73.41,68103,"matrix","Jewelery, Computers & Outdoors","322 Joana Roads",1,"WA",32.82,"7-22-2021",8396549,"Jammieshire",55.02,45.05,true,"Anna Luettgen",64.03,"Female",false,20.92,"3:4:48","Parisian, Wolff and Gorczany",154543,64.03
"AMEX","Intelligent Wooden Shoes",true,17706,"program","Health, Garden & Games","6163 Rippin Valleys",10,"PA",false,"8-13-2021",72.01,"New Harvey",1784249,3728224,false,"Minerva Rath",703.10,"Male",false,98.44,"7:30:12","Wiegand-Tillman",655602,70.31
"Cash","Awesome Concrete Chair",false,68518,true,"Jewelery & Movies","71081 O'Reilly Keys",10,"MN",true,"1-31-2021",32.92,"East Abagail",96.05,83.14,false,"Terrell Gaylord",525.80,"Male",true,71.54,"20:38:14","McClure, Block and Franecki",874102,52.58
"Cash","Rustic Granite Chair",8212263,65191,false,"Tools","9075 Godfrey Meadows",10,"OR","bypassing","10-23-2021",4811545,"North Vesta","neural","compressing",45.62,"Benny Ziemann",175.00,"Male",69.12,28.90,"6:42:3","Wiegand-Tillman",586485,17.50
"Visa","Intelligent Steel Shirt","sensor",87385,7380287,"Toys, Music & Books","795 Corine Lodge",10,"ND",4606732,"2-28-2021",8109239,"Cleoberg","compressing","reboot",15.92,"Malika Schamberger",896.90,"Female",39.76,"multi-byte","14:46:57","Considine PhD",953535,89.69
"AMEX","Fantastic Plastic Pants",54.73,50162,"sensor","Grocery, Electronics & Computers","185 Frami Village",5,"NH",3824022,"2-10-2021",0.75,"East Herbert","hacking","sensor",76.63,"Maymie Beer",38.15,"Male",12.96,6313729,"5:36:31","Armstrong, Strosin and Altenwerth",990856,7.63
"MasterCard","Gorgeous Granite Shoes",85.51,10460,21.71,"Computers","731 Eichmann Overpass",7,"AL",true,"9-15-2021",34.39,"Mertiemouth",97.74,60.11,"interface","Miss Verlie Frami",513.03,"Female","override",true,"19:59:50","Armstrong, Strosin and Altenwerth",124069,73.29
"Visa","Gorgeous Cotton Gloves",19.24,54266,true,"Kids & Health","97167 Zula Falls",6,"MI",false,"10-12-2021",14.99,"Port Isaiah","feed","JSON",true,"Parker Labadie",410.10,"Female",true,"panel","3:24:20","Armstrong, Strosin and Altenwerth",139614,68.35
"Visa","Gorgeous Wooden Shirt",true,70173,25.48,"Clothing, Toys & Music","40590 Jillian Roads",6,"NH",false,"2-1-2021",11.99,"East Richmondtown","online","alarm",87.48,"Bill Lockman",321.48,"Female",23.42,"bypassing","3:1:49","Auer V",640632,53.58
"AMEX","Ergonomic Cotton Shoes",4898836,51065,"panel","Shoes","84616 Glenna Lane",5,"HI","compressing","10-8-2021","array","Norbertomouth","SAS","FTP",true,"Walker MacGyver",291.05,"Male",false,"program","14:4:33","Kshlerin DDS",232068,58.21
"AMEX","Practical Steel Chair","compressing",56201,true,"Home, Automotive & Clothing","541 Deckow Spur",8,"OR","compress","10-22-2021",false,"South Karentown",2995225,6852280,7068816,"Dr. Ibrahim Graham",253.04,"Male",7708517,77.87,"5:13:20","Kuphal, Spencer and Blanda",427440,31.63
"Visa","Incredible Wooden Pants",27.34,87059,"primary","Toys, Electronics & Kids","839 Mario Key",9,"NJ",true,"3-28-2021",76.48,"Justinemouth",39.58,2.09,true,"Monte Block",772.83,"Male",false,74.86,"20:55:16","McClure, Block and Franecki",134986,85.87
"AMEX","Awesome Cotton Shirt",27.95,51309,90.21,"Beauty","84523 Lavonne Meadows",3,"DE",23.07,"7-7-2021",true,"North Lewfurt",36.66,99.12,false,"Stella Fadel",203.61,"Male",false,false,"9:22:20","Considine PhD",706763,67.87
"EWallet","Gorgeous Rubber Hat",true,51949,1497828,"Industrial","96680 Gay Vista",1,"WY",6918760,"5-24-2021","THX","Elliotthaven",89.39,78.75,4813322,"Miss Colten Raynor",12.29,"Female",8201944,"multi-byte","13:30:38","McClure, Block and Franecki",983568,12.29
"EWallet","Gorgeous Concrete Shoes",true,30881,"navigating","Industrial & Beauty","82455 Nora Ports",1,"VA",6237239,"4-16-2021",7558926,"Alanisport",8806786,7142688,4497032,"Jalen Ullrich",97.93,"Male",8933314,"cross-platform","0:13:14","Armstrong, Strosin and Altenwerth",239622,97.93
"EWallet","Awesome Wooden Shoes",34.84,34379,792455,"Clothing & Automotive","418 Nellie Inlet",8,"MT",94.26,"10-25-2021",53.89,"Kovacektown",9087974,2529372,7550539,"Brycen Dicki",455.76,"Male",5115775,55.25,"9:30:28","McClure, Block and Franecki",512579,56.97
"EWallet","Rustic Cotton Table",963036,77588,67.53,"Games","4843 Keely Harbor",6,"CA","navigate","10-14-2021",8202343,"Port Earnestine",true,true,1622423,"Miss Baby O'Connell",551.58,"Male",6697298,false,"7:25:8","Considine PhD",294508,91.93
"EWallet","Ergonomic Concrete Car",4.94,57455,65.27,"Clothing","9719 Jordan Turnpike",1,"MD",88.35,"10-1-2021",false,"Port Scottie",false,true,67.02,"Dr. Luigi Kautzer",83.45,"Male",89.69,true,"4:11:13","Wiegand-Tillman",588468,83.45
"Visa","Small Rubber Gloves",false,28858,false,"Garden","7595 Quitzon Islands",10,"AZ","1080p","10-7-2021","multi-byte","Quitzonchester",true,false,"bandwidth","Randall Spinka",463.10,"Male","driver",5672741,"19:11:37","Wiegand-Tillman",573898,46.31
"MasterCard","Practical Concrete Chair",true,66305,870714,"Garden & Computers","50037 Larson Mills",4,"CT",false,"5-17-2021",9389634,"Lake Brendon",199166,8749931,6076186,"Audra Okuneva",308.60,"Female",5667773,"compress","21:52:14","Larkin-McClure",713646,77.15
"AMEX","Ergonomic Cotton Pants",5572802,94146,"quantifying","Music & Clothing","83409 Pat Drive",6,"NJ",1532616,"10-7-2021","SCSI","Abbeyport",69.30,31.29,21.60,"Cordell Swift",34.68,"Male",57.36,1484277,"4:8:1","Wiegand-Tillman",376177,5.78
"MasterCard","Practical Cotton Chair",2488999,31037,false,"Beauty, Tools & Outdoors","5776 Klocko Shore",2,"IL",true,"7-23-2021",840997,"North Ocie",false,false,1062685,"Moses Johns",82.94,"Female",3921247,44.29,"17:46:0","Considine PhD",307804,41.47
"MasterCard","Gorgeous Granite Car",57.39,84424,true,"Tools, Shoes & Movies","245 Kaelyn Glens",7,"MS",false,"6-25-2021",3.44,"Lorinemouth",65.72,55.86,18.80,"Johnnie Schowalter",269.29,"Male",42.27,1167099,"10:36:23","Wiegand-Tillman",229627,38.47
"MasterCard","Awesome Concrete Pants",27.90,57999,9151691,"Tools","24169 Esteban Turnpike",10,"VT",980166,"12-29-2020","generate","Kaciton",false,true,"open-source","Nicholas Adams I",152.10,"Male","backing up",3407035,"22:25:22","Larkin-McClure",999771,15.21
"MasterCard","Rustic Cotton Computer","SCSI",46638,"compress","Kids & Industrial","848 Langworth Forks",10,"AL",3218743,"10-11-2021",2105190,"New Henri",true,true,false,"Rolando Tillman",762.30,"Female",true,1782572,"10:12:26","Kshlerin DDS",176669,76.23
"Cash","Intelligent Concrete Gloves",643036,52896,"index","Movies, Books & Games","13215 Kamryn Road",4,"AZ","quantifying","10-3-2021",false,"South Lianahaven","parsing","indexing","sensor","Telly Jast PhD",303.24,"Male","matrix",38.71,"14:19:21","Considine PhD",344442,75.81
"MasterCard","Gorgeous Steel Gloves",87.64,87156,11.08,"Jewelery, Baby & Industrial","32178 Beer Landing",4,"CO",true,"3-10-2021",8182332,"Crookstown",false,false,10.08,"Mr. Gudrun Blick",26.88,"Male",46.44,36.19,"21:8:42","Auer V",160658,6.72
"MasterCard","Sleek Wooden Car",48.53,54922,11.69,"Garden","834 Towne Tunnel",8,"AK","hack","10-25-2021","reboot","Manntown",57.25,20.98,3767353,"Ethelyn Reynolds",471.60,"Female",6794478,69.62,"9:18:42","Kshlerin DDS",553511,58.95
"MasterCard","Awesome Cotton Table","optical",51117,1613850,"Health & Clothing","1791 Genevieve Pine",6,"IN","hack","10-14-2021",1.86,"Jettstad","solid state","SMTP",90.25,"Sigrid Kuvalis",51.42,"Female",13.71,"SMS","10:38:9","Wiegand-Tillman",788681,8.57
"Visa","Practical Wooden Computer",99.14,59991,8889001,"Industrial, Kids & Home","86210 Lynch Extensions",1,"OR","THX","5-19-2021",142042,"Hillsmouth",5298727,7691071,6331939,"Joshuah Cormier",90.54,"Male",2683240,46.25,"4:44:3","Larkin-McClure",469279,90.54
"EWallet","Rustic Cotton Computer",3520013,42079,5399511,"Movies","725 Barrows Walk",10,"OR",false,"5-23-2021",95.93,"New Stefan",31.11,20.77,84.11,"Dahlia Beer",388.70,"Female",7.14,67.17,"3:41:16","Considine PhD",588496,38.87
"AMEX","Rustic Concrete Table",19.37,35569,82.52,"Tools","7351 Edmund Light",1,"WY",6889575,"8-3-2021",68.86,"Port Josephine",31.59,91.42,"cross-platform","Casey Kuphal",67.79,"Female","monitor","connect","14:18:31","Lakin, O'Connell and Monahan",194765,67.79
"Cash","Practical Rubber Pants","open-source",88420,"calculating","Beauty & Automotive","378 Wiegand Springs",10,"IA",76.16,"10-12-2021","navigate","Larkinside",62.78,24.76,"neural","Macy Block",783.00,"Male","reboot",1.21,"10:38:20","Kuphal, Spencer and Blanda",631312,78.30
"EWallet","Practical Steel Computer",7135119,90222,1422419,"Shoes","91590 Stroman Groves",9,"SD",9101539,"6-1-2021","synthesize","North Veronaside",4629061,6898230,1192070,"Alta Littel",486.81,"Female",729291,"THX","12:10:2","Parisian, Wolff and Gorczany",674090,54.09
"EWallet","Fantastic Steel Shirt","hacking",67434,0.56,"Baby","73008 Wuckert Rapid",1,"KY","online","10-6-2021",false,"Halvorsonberg","AGP","1080p",71.81,"Ayana Goodwin",52.88,"Male",95.26,1186848,"17:48:53","Kuphal, Spencer and Blanda",494168,52.88
"Cash","Incredible Cotton Chair",true,62948,false,"Games, Kids & Health","4919 Meaghan Tunnel",2,"IA",true,"2-3-2021",56.59,"Wardchester",false,true,false,"Rachel Okuneva",179.68,"Male",false,true,"7:12:39","Kshlerin DDS",835793,89.84
"Cash","Sleek Rubber Hat",61.21,89977,true,"Shoes","35817 Marquardt Freeway",6,"IL",false,"8-23-2021",11.14,"Anissaside",true,true,3602121,"Mariam Prosacco IV",554.64,"Female",3354341,9.50,"6:42:49","McClure, Block and Franecki",159378,92.44
"MasterCard","Intelligent Concrete Table",7829122,98598,false,"Movies, Books & Health","6176 Hudson Pine",1,"ME",true,"9-18-2021","firewall","Lake Isacshire",43.34,94.35,57.21,"Alfredo Runolfsson",19.56,"Female",93.18,4844315,"21:47:37","Larkin-McClure",508020,19.56
"AMEX","Intelligent Granite Shoes",92.51,35491,3291132,"Music","306 Connelly Shore",2,"CA",91.59,"8-8-2021",8893362,"Nienowtown",5431354,8136547,6664435,"Makenna Thompson",47.04,"Male",4878836,false,"20:24:11","Armstrong, Strosin and Altenwerth",704866,23.52
"MasterCard","Gorgeous Concrete Table","feed",56349,"reboot","Computers, Movies & Industrial","261 Klein Island",6,"NC",4732769,"7-21-2021",611703,"Purdyville",74.59,37.36,87.44,"Rodrigo Morar V",117.00,"Male",50.94,10.70,"21:22:37","Parisian, Wolff and Gorczany",295022,19.50
"Visa","Sleek Steel Hat",36.01,64644,85.88,"Computers, Clothing & Outdoors","71914 Ellie Forks",8,"VT",false,"5-8-2021",8704081,"Kuvalistown",74.41,34.42,4471094,"Vicente Stiedemann",513.04,"Female",7534205,83.12,"22:23:56","Wiegand-Tillman",770593,64.13
"MasterCard","Rustic Concrete Car",97.09,52671,false,"Kids, Shoes & Games","93968 Verdie Groves",6,"WV",false,"8-31-2021",3093682,"New Blanca",false,false,"index","Otis Beahan",535.68,"Male","generating",1003218,"7:55:6","Kuphal, Spencer and Blanda",457722,89.28
