State,Department,Date,Total,PaymentType,Address,Product,bus,firewall,Store,ProductPrice,Time,program,InvoiceId,capacitor,pixel,microchip,system,interface,monitor,Quantity,CustomerName,City,protocol,Gender,PostalCode
"NC","Health & Outdoors","8-30-2021",499.80,"AMEX","9511 Cruickshank Parkways","Sleek Concrete Pants",23.34,"hard drive","Armstrong, Strosin and Altenwerth",49.98,"0:17:49",4637181,839708,71.66,3820180,true,6224667,34.29,"haptic",10,"Sanford Howell","Dickinsonton",false,"Female",84028
"AL","Health","6-2-2021",158.85,"MasterCard","6524 Davis Parkways","Incredible Concrete Shirt",false,"driver","Larkin-McClure",31.77,"6:46:41",6641297,632122,false,4053982,7120903,"quantify",418810,"programming",5,"Salvatore O'Keefe","Autumnville","firewall","Male",10232
"TX","Beauty","7-31-2021",476.58,"EWallet","344 Corwin Camp","Incredible Wooden Shirt",false,true,"Auer V",79.43,"13:52:1",5681730,823563,"program",3782057,38.72,false,false,"digital",6,"Dr. Octavia Schinner","New Florencio",86.47,"Female",90286
"AL","Tools & Garden","10-1-2021",123.69,"EWallet","61650 O'Connell Causeway","Incredible Rubber Car",true,"override","Kshlerin DDS",41.23,"12:37:7",86.38,637149,49.54,true,false,false,false,true,3,"Antonia Bartell","Rosastad",true,"Female",82938
"NM","Computers & Jewelery","4-25-2021",77.02,"MasterCard","3679 Hilpert Mountain","Awesome Steel Shoes",59.60,false,"McClure, Block and Franecki",38.51,"23:4:53",false,584548,36.07,98.80,85.76,48.70,true,false,2,"Flavie White","West Sherwoodfort",true,"Female",67721
"NM","Kids, Automotive & Clothing","4-29-2021",72.82,"Cash","2258 Zakary Mountain","Small Plastic Gloves",true,"AI","Kshlerin DDS",36.41,"5:28:17",89.00,351180,442867,true,89.14,51.68,"program",false,2,"Mr. Esteban Ullrich","Port Sterlingshire",27.58,"Female",24807
"AR","Baby","5-18-2021",369.40,"AMEX","72003 Denis Motorway","Sleek Rubber Shirt",994246,"synthesizing","Wiegand-Tillman",36.94,"18:34:18","bandwidth",965101,true,"driver","FTP",true,false,"digital",10,"Maria Torp","Wehnerfort",3508265,"Female",90924
"MT","Jewelery, Music & Electronics","10-22-2021",53.28,"Visa","57740 Allie Village","Fantastic Rubber Pants",true,true,"Auer V",6.66,"18:22:7","hacking",456251,31.85,22.49,"index",false,true,true,8,"Bessie Fritsch","Port Adrian",20.92,"Female",24972
"SC","Electronics","4-18-2021",284.10,"Visa","78884 Schmidt Views","Sleek Wooden Computer","bypassing","backing up","Kshlerin DDS",94.70,"4:52:51",19.84,195376,3248464,false,true,true,true,47.64,3,"Grayson Murphy","Port Emiliano",false,"Female",17171
"UT","Industrial & Computers","9-30-2021",187.59,"EWallet","7696 Turner Viaduct","Rustic Rubber Shirt",94.04,true,"Auer V",62.53,"15:14:20",true,724199,"USB",9270907,"neural",false,9149035,4770523,3,"Jamel Davis","New Mandyburgh",8516394,"Female",76575
"TX","Beauty, Health & Computers","6-18-2021",761.12,"AMEX","5285 Hansen Meadows","Ergonomic Rubber Table",false,"capacitor","Lakin, O'Connell and Monahan",95.14,"7:22:28","AI",758717,false,"auxiliary",42.67,4.95,3860925,6291,8,"Logan Prohaska","Wilhelmstad",672876,"Female",26578
"MI","Toys, Electronics & Beauty","6-28-2021",304.38,"Visa","5290 Garrett Track","Ergonomic Steel Shirt","bus",2168825,"Kshlerin DDS",33.82,"19:13:58",7941274,612096,9096938,3073541,"solid state",65.36,55.01,"alarm",9,"Miss Alexanne Pollich","Shaniaton",38.31,"Female",36279
"WY","Shoes & Toys","9-29-2021",294.20,"Cash","282 Kunde Parkway","Incredible Plastic Chair",37.00,5604757,"Parisian, Wolff and Gorczany",29.42,"23:39:39",false,747175,true,true,true,false,75.93,11.12,10,"Deborah Walter","West Antonina",false,"Male",21495
"TX","Books & Outdoors","5-10-2021",230.93,"Visa","75814 Pedro Brook","Rustic Concrete Table",true,4137841,"Parisian, Wolff and Gorczany",32.99,"12:55:41",83.56,532187,false,95.85,59.60,45.76,8.11,71.45,7,"Mrs. Afton Abbott","New Marisa",94.51,"Male",72017
"WA","Industrial","6-22-2021",578.20,"EWallet","87325 Pauline Glen","Intelligent Concrete Hat",true,true,"Kuphal, Spencer and Blanda",57.82,"2:25:54",true,743353,66.36,"copy","primary",true,32.15,6794586,10,"Josianne Hegmann Sr.","Lake Rozellaburgh",2481220,"Male",99505
"SD","Outdoors & Books","10-21-2021",528.12,"AMEX","64922 Greenfelder Divide","Intelligent Concrete Pants",7553723,1506558,"Kshlerin DDS",88.02,"14:41:29",62.76,998500,"quantifying","quantifying",9.54,8498720,"system",2260603,6,"Sabrina Leuschke V","Trevafort",5268042,"Female",71738
"CO","Kids, Computers & Movies","6-28-2021",93.20,"EWallet","55099 Claudine Street","Awesome Granite Hat",80.40,"circuit","Parisian, Wolff and Gorczany",18.64,"21:52:20","AI",535130,true,16.11,9158022,42.08,31.81,true,5,"Marlee Monahan","Kossstad",8756030,"Male",48210
"SC","Electronics, Baby & Beauty","6-11-2021",43.83,"EWallet","3641 Lexus Parkway","Intelligent Wooden Shoes",40.50,90.60,"Auer V",43.83,"14:45:33",false,158778,16.58,78.94,38.37,89.03,true,41.24,1,"Kellie Shields","Baileychester",false,"Male",13529
"UT","Industrial, Toys & Kids","1-17-2021",249.00,"Visa","94122 Lorine Hollow","Rustic Steel Shirt",87.58,50.32,"Parisian, Wolff and Gorczany",62.25,"15:35:20",false,106171,76.03,7968113,true,49.39,4635893,6368893,4,"Charles Senger","South Brookeport",2794759,"Male",56634
"VT","Computers & Books","8-25-2021",387.88,"MasterCard","888 Balistreri Lodge","Sleek Granite Table",false,2832668,"Considine PhD",96.97,"23:5:23",2468962,436793,96.47,"navigate",4000965,72.54,5999475,true,4,"Ora Nader","Kleinfurt",8316828,"Male",79502
"NE","Beauty & Shoes","10-9-2021",544.04,"AMEX","1808 Margret Mountains","Gorgeous Steel Table","system",6086050,"McClure, Block and Franecki",77.72,"2:7:42",4229844,382284,"backing up",19.72,"CSS",1133179,7258799,1377874,7,"Gerard Beier","New Terrenceland",8.82,"Female",20048
"WA","Clothing, Home & Movies","8-17-2021",240.64,"Visa","9895 Boyer Loaf","Fantastic Plastic Shoes",1190430,93.83,"Kshlerin DDS",30.08,"23:46:6",17.11,692495,false,"SDD",32.29,92.31,55.63,5.39,8,"Christelle Gorczany I","East Marshallshire",68.33,"Male",90115
"IL","Home","4-20-2021",116.40,"Cash","967 Weber Spurs","Rustic Plastic Hat",27.60,true,"Kshlerin DDS",14.55,"16:53:34",true,253099,12.63,2.77,true,15.50,5.22,38.83,8,"Cruz Schulist","South Martyshire",true,"Female",78235
"SD","Tools, Garden & Outdoors","6-17-2021",41.55,"Cash","8845 Ruecker Ranch","Incredible Steel Gloves",true,4.19,"Kshlerin DDS",13.85,"19:38:44",3941542,396524,"connecting",5251989,13.32,75.82,"primary","connect",3,"Kaley Satterfield","Blancheburgh",25.37,"Male",37057
"FL","Electronics, Sports & Industrial","10-22-2021",89.92,"MasterCard","699 Christiana Oval","Incredible Concrete Pants",7485325,true,"Larkin-McClure",44.96,"0:34:13","GB",350829,"connect","PNG",36.11,"bandwidth",8516219,3358436,2,"Roselyn Rath III","New Ikeside",3812538,"Male",13793
"MS","Garden & Games","11-27-2020",356.60,"EWallet","8415 Nathan Pine","Ergonomic Cotton Gloves","port","port","McClure, Block and Franecki",89.15,"4:40:13",1645627,923129,false,7244012,2042624,3451969,28.88,5171408,4,"Margarette Boehm","South Isac",41.70,"Male",11024
"OR","Books","9-12-2021",391.32,"Cash","8350 Samantha Trail","Gorgeous Wooden Shoes",11.25,true,"Larkin-McClure",43.48,"13:17:33",9402042,142953,true,true,3123712,59.66,true,false,9,"Tania Schaefer","Lake Karsonport",false,"Male",97560
"WI","Grocery & Electronics","9-23-2021",102.88,"AMEX","315 Haag Isle","Rustic Cotton Shirt",61.25,true,"Armstrong, Strosin and Altenwerth",25.72,"5:30:22",false,658542,6.86,70.51,false,true,false,true,4,"Keira Heaney","Javontown",8253491,"Female",59985
"MS","Sports & Tools","5-13-2021",833.20,"EWallet","651 Kelvin Parks","Sleek Granite Gloves",1586785,83.91,"Parisian, Wolff and Gorczany",83.32,"15:58:56",8698430,570222,"ADP","COM",92.42,2116791,6.40,68.76,10,"Sylvester Morar","Bednarmouth","reboot","Male",37074
"RI","Tools, Books & Health","6-12-2021",912.30,"MasterCard","52509 Turcotte Stream","Sleek Rubber Table",2230945,"reboot","Considine PhD",91.23,"16:27:36",6923702,343164,3041669,"cross-platform","synthesizing","quantify","XSS",35.81,10,"Nicholas Lockman II","Millerton","IB","Female",13109
"OR","Computers","6-10-2021",515.27,"AMEX","777 Breitenberg Landing","Rustic Plastic Pants",true,37.38,"McClure, Block and Franecki",73.61,"1:33:53","optical",912109,20.67,82.62,1388708,6692345,"SSL",true,7,"Helmer Stracke","Hermannmouth",false,"Female",73511
"AK","Computers, Games & Industrial","1-16-2021",191.60,"Cash","1379 Laura Cliffs","Sleek Rubber Car",40.97,true,"Armstrong, Strosin and Altenwerth",38.32,"23:3:37",false,796678,9249283,6.61,false,29.13,92.41,42.28,5,"Hillary O'Kon","West Justenland",true,"Male",67137
"AK","Clothing, Toys & Beauty","5-26-2021",125.28,"Cash","54685 Waino Isle","Awesome Wooden Computer",true,90.84,"Kshlerin DDS",41.76,"15:1:2",13.95,122199,true,false,false,"input",true,2596887,3,"Miss Carlos Boyle","West Steveborough",false,"Female",90840
"WA","Home, Industrial & Grocery","9-17-2021",89.22,"MasterCard","715 Cormier Island","Intelligent Concrete Pants",51.76,false,"Wiegand-Tillman",89.22,"9:15:57","port",458280,36.62,true,"reboot",39.29,"open-source",false,1,"Theodore Sawayn DDS","Elvishaven","connect","Female",16959
"TN","Beauty, Health & Industrial","10-21-2021",84.60,"EWallet","5383 Albertha Course","Small Plastic Pants",9276138,"synthesize","Lakin, O'Connell and Monahan",14.10,"18:57:36","PCI",337729,4095339,"online",false,"open-source","quantify",86.22,6,"Mariano Lueilwitz","New Ednafort",true,"Female",31579
"VT","Grocery, Computers & Home","4-27-2021",395.90,"MasterCard","27687 Joy Neck","Incredible Plastic Car","solid state",2385894,"Kuphal, Spencer and Blanda",79.18,"6:46:42",56.90,522506,20.21,70.79,false,23.07,false,true,5,"Maya Spinka","Aurelieland",false,"Male",43014
"TX","Health, Sports & Jewelery","9-4-2021",111.96,"AMEX","2081 Deanna Shoal","Practical Concrete Shirt",68.11,17.79,"Armstrong, Strosin and Altenwerth",55.98,"7:46:3",true,345749,16.81,3.43,"COM",16.16,79.08,42.64,2,"Dr. Marcelle Cremin","East Jadon",false,"Male",91847
"VT","Movies & Garden","8-9-2021",100.98,"AMEX","591 Arely Fork","Ergonomic Steel Gloves",25.09,2890187,"Larkin-McClure",11.22,"18:15:49",true,250824,"JBOD",2869936,3940857,false,false,"microchip",9,"Ms. Sean Towne","New Theaside","bypassing","Female",12962
"MI","Electronics","1-24-2021",77.19,"EWallet","47221 Laury Flats","Incredible Wooden Shoes",true,7464734,"Larkin-McClure",25.73,"22:17:2",true,921817,"cross-platform","SQL",true,"wireless",824126,"RAM",3,"Alda Mosciski","Henrifurt",true,"Female",44686
"PA","Beauty & Baby","9-13-2021",582.89,"EWallet","256 Beahan Valleys","Awesome Concrete Chair",5269704,"COM","Considine PhD",83.27,"12:53:41",true,204888,8491811,2118798,"mobile",6.55,"SCSI",false,7,"Gerald Hartmann I","East Londonview","calculating","Male",35529
"WY","Books","10-9-2021",78.76,"MasterCard","60014 Gerry Underpass","Incredible Rubber Hat",41.25,false,"Kshlerin DDS",78.76,"8:19:40",64.11,754214,false,"SQL",true,false,89.15,52.31,1,"Dr. Nelson Ullrich","O'Reillyborough",2.28,"Male",91201
"NM","Games","10-7-2021",54.89,"MasterCard","48637 Bauch Causeway","Incredible Rubber Chair",true,90.72,"Parisian, Wolff and Gorczany",54.89,"16:34:1",true,842556,true,false,false,false,79.41,true,1,"Justus Mertz","North Joan",62.43,"Male",50974
"AR","Beauty, Jewelery & Books","7-20-2021",140.70,"Cash","27666 Katelynn Trafficway","Small Granite Shirt",true,true,"Lakin, O'Connell and Monahan",23.45,"5:10:13","card",750577,97.99,true,"solid state","synthesizing",72.48,"array",6,"Josefina Auer","Schadentown",6733879,"Female",51478
"LA","Movies & Books","8-24-2021",221.37,"EWallet","1952 Emilia Fall","Fantastic Rubber Shoes","hack",1734770,"Kshlerin DDS",73.79,"21:41:29",321273,585990,"firewall",false,1248531,"open-source","back up","SQL",3,"Daphne Mayert","Cyriltown",false,"Female",38867
"WV","Electronics & Music","8-23-2021",18.42,"MasterCard","33770 Margarete Meadows","Intelligent Plastic Table",9166652,"card","Armstrong, Strosin and Altenwerth",18.42,"15:40:26",false,150540,"interface",false,"virtual",0.34,63.28,25.59,1,"Randy Robel","East Janae",6113035,"Female",25855
"MT","Music","5-26-2021",88.92,"EWallet","6320 Jordy Freeway","Sleek Concrete Computer",3810026,51.58,"Armstrong, Strosin and Altenwerth",22.23,"0:15:4",true,894534,37.78,false,false,false,false,"SAS",4,"Jordan Lang","Clairehaven","1080p","Female",90976
"HI","Beauty, Books & Outdoors","10-18-2021",82.88,"MasterCard","4007 Harris Knolls","Awesome Wooden Shoes",982480,109742,"Wiegand-Tillman",82.88,"16:22:35",false,533690,77.94,8503672,true,true,"IB",5.62,1,"Mrs. Romaine Brakus","McLaughlinmouth","SSL","Male",76655
"HI","Kids & Baby","9-23-2021",301.24,"EWallet","35281 Waters Lakes","Gorgeous Wooden Table",52.04,5300206,"Considine PhD",75.31,"21:13:6",6575355,110746,1312697,6863032,"SAS","programming",false,5796855,4,"Octavia Little","North Maximilianfurt",576371,"Female",12113
"NV","Jewelery & Electronics","9-12-2021",123.62,"AMEX","62879 Hermiston Plaza","Awesome Plastic Pants","SMS","RSS","McClure, Block and Franecki",61.81,"9:5:57",98.55,957145,6872749,"card","sensor",36.99,614094,386839,2,"Oscar Altenwerth","Lake Glendafurt",22.05,"Male",21678
"DE","Music & Sports","10-23-2021",80.60,"AMEX","475 Boyer Falls","Fantastic Wooden Chair",2311578,70.93,"Armstrong, Strosin and Altenwerth",16.12,"18:2:44",true,655757,57.32,3991808,false,69.92,false,false,5,"Maybell Ziemann","East Rethaland",false,"Female",66237
"MT","Movies & Grocery","4-29-2021",140.19,"Visa","52913 Brekke Plains","Fantastic Concrete Car",68.98,31.32,"Considine PhD",46.73,"0:13:37",false,245843,true,31.45,true,1017718,4498684,69.88,3,"Imelda Flatley PhD","Huelside",false,"Male",29188
"WV","Movies","8-2-2021",175.35,"Visa","15167 Minnie Mountain","Small Steel Hat",2781288,true,"McClure, Block and Franecki",25.05,"7:34:14",5685277,919119,5150078,2983925,"HTTP",43.22,"connect",8033859,7,"Phyllis Jacobi","New Carashire","CSS","Female",81416
"IA","Grocery","3-23-2021",97.08,"EWallet","580 Smith Lake","Gorgeous Wooden Computer",78.90,"transmit","Wiegand-Tillman",48.54,"9:37:26",3111542,150744,4645044,"connect","AI",8024746,"port",true,2,"Gabrielle Beahan DVM","Brittanychester",165673,"Male",57187
"MT","Jewelery & Garden","9-21-2021",46.89,"AMEX","604 Sandy Springs","Gorgeous Wooden Shirt","USB","synthesizing","Kuphal, Spencer and Blanda",15.63,"12:17:23",38744,181608,"quantify",59553,9.88,"TCP",23.50,86.04,3,"Erna Krajcik","Dorisstad","hacking","Male",17542
"IA","Jewelery & Home","9-26-2021",147.90,"Visa","33220 Schamberger Mall","Awesome Cotton Chair",6383135,false,"Considine PhD",49.30,"15:55:40",4282222,636392,"alarm",44.58,33.95,96.87,56.81,false,3,"Miss Lou Kassulke","Earlineview",true,"Female",17945
"MD","Games","10-18-2021",173.95,"MasterCard","340 Predovic Prairie","Rustic Wooden Gloves",true,45.68,"McClure, Block and Franecki",24.85,"8:3:49",5.33,358825,6959845,false,366940,true,true,"online",7,"Rowan Stanton","East Gwen","back-end","Female",13600
"MI","Kids, Books & Sports","8-12-2021",398.60,"MasterCard","75099 Mohr Shoal","Gorgeous Concrete Hat","navigate","back-end","Parisian, Wolff and Gorczany",39.86,"1:35:49",false,425615,"synthesize",4313983,87.40,9316808,6532644,"compress",10,"Janis Dibbert","Port Elvera","synthesize","Female",60999
"SC","Movies & Health","2-23-2021",196.20,"Cash","9029 McCullough Square","Gorgeous Rubber Shirt",false,2364449,"Lakin, O'Connell and Monahan",65.40,"22:10:8",4852853,763514,"overriding",true,381289,true,"system",true,3,"Juana Kozey","North Demetris",56.63,"Female",62611
"IN","Games, Movies & Music","8-20-2021",163.95,"Visa","897 Madisyn Stream","Rustic Concrete Gloves","reboot",15.44,"Parisian, Wolff and Gorczany",54.65,"17:45:26",38.12,741090,"hard drive",64.23,14.46,false,true,false,3,"Manuela Ratke","Lake Kameron",62.84,"Female",58596
"ND","Clothing & Games","10-14-2021",130.42,"Visa","35361 Aliyah Lane","Intelligent Steel Shirt",48.94,true,"Larkin-McClure",65.21,"19:49:23",false,699107,false,false,true,false,false,false,2,"Mrs. Savanna Turner","Jaskolskiport",false,"Male",26495
"NM","Clothing, Baby & Computers","9-30-2021",43.16,"EWallet","8411 Erdman Mill","Fantastic Rubber Computer",false,98.27,"Considine PhD",21.58,"0:46:40",22.49,599460,8686696,false,4678092,57.80,4886360,9409010,2,"Aimee Ernser","South Elbertstad",true,"Female",38522
"WV","Games, Electronics & Jewelery","9-12-2021",357.60,"AMEX","8315 Retta Squares","Ergonomic Granite Hat","reboot",81.44,"Auer V",35.76,"3:16:20",2924524,586617,67.83,8315799,2631270,2897989,7953771,"hack",10,"Marcus Cassin","Lynchburgh",false,"Male",77180
"UT","Baby, Outdoors & Clothing","9-30-2021",129.18,"EWallet","98237 Osinski Stravenue","Practical Plastic Hat",9032126,2022014,"Considine PhD",21.53,"23:2:33","COM",940254,false,51.07,"protocol",77.53,true,false,6,"Marta Gerlach","East Sylviaport",false,"Female",11220
"MT","Jewelery, Grocery & Outdoors","8-24-2021",180.87,"Visa","62113 Willow Views","Practical Plastic Gloves","haptic",6580429,"Larkin-McClure",60.29,"2:4:25",62.32,414474,24.28,false,true,37.07,false,50.59,3,"Miss Viola Lehner","Lake Shea",85.75,"Male",84279
"MO","Health, Sports & Music","9-9-2021",59.10,"MasterCard","3395 Grady Shores","Sleek Wooden Hat",false,85.50,"Kuphal, Spencer and Blanda",59.10,"12:29:21",21.85,462160,false,true,34.08,"bypassing",false,10.34,1,"Mrs. Brandy Johnston","South Noemouth","bus","Male",23105
"IN","Electronics, Books & Computers","10-20-2021",237.60,"AMEX","9871 Vidal Turnpike","Gorgeous Plastic Computer",true,true,"Considine PhD",39.60,"1:6:25",4372394,419109,3468521,false,276282,47.40,6710109,8738594,6,"Ms. Name Lind","Sammiehaven","quantifying","Male",20752
"MS","Tools & Computers","7-3-2021",560.90,"EWallet","1092 Murphy Lock","Small Plastic Shoes",false,"compressing","Wiegand-Tillman",56.09,"11:4:43",4535396,101891,339980,2354897,3083885,8316520,11882,"1080p",10,"Bobby Green","Lednerhaven","matrix","Male",90129
"AR","Grocery & Home","10-20-2021",125.92,"Cash","144 Kautzer Alley","Incredible Rubber Car","compressing","bypassing","Larkin-McClure",31.48,"12:34:46","pixel",457929,true,2107787,47.48,true,"bypassing",33.28,4,"Mr. Mac Heathcote","Imafort",83.54,"Male",91059
"NV","Books, Movies & Shoes","10-17-2021",358.10,"AMEX","29109 Earl Overpass","Awesome Cotton Pants","transmitter",682565,"Armstrong, Strosin and Altenwerth",35.81,"7:34:19",95.18,104742,true,true,true,true,false,20.40,10,"Brendon Ankunding","South Katherine",false,"Male",24408
"ND","Industrial","7-7-2021",150.00,"EWallet","350 Mia Canyon","Practical Granite Hat",69.16,false,"Considine PhD",37.50,"2:58:49",false,190262,"calculating",false,"SQL","bus",true,true,4,"Mercedes Mayert","Simeonport",true,"Female",52921
"ND","Jewelery & Health","7-10-2021",386.50,"MasterCard","6395 Lowe Meadows","Sleek Wooden Gloves","wireless",79.76,"Lakin, O'Connell and Monahan",77.30,"2:50:15",2844475,612759,"backing up",55.44,"solid state",3063762,3795527,3096372,5,"Alyson Boehm","South Ashlee",1868242,"Female",26294
"CO","Electronics","8-6-2021",0.86,"Cash","277 Cronin Groves","Intelligent Cotton Computer","bus",false,"Considine PhD",0.43,"8:23:14",1795384,867309,"SDD",false,4033044,9112501,"indexing",60.78,2,"Hank Schulist Sr.","Boyerberg","reboot","Female",44090
"NJ","Games & Baby","7-24-2021",318.42,"Visa","643 Medhurst Spring","Gorgeous Wooden Shoes","compress","optical","Wiegand-Tillman",53.07,"1:57:51","copy",639924,"mobile","HTTP",81.88,true,false,false,6,"Domenico Okuneva III","North Jonathon",false,"Male",39765
"HI","Clothing, Games & Home","5-3-2021",337.04,"MasterCard","492 Holly Corners","Intelligent Rubber Chair",true,true,"Lakin, O'Connell and Monahan",42.13,"19:22:7",696882,123157,16.25,5.51,2862450,31.60,93.56,false,8,"Nigel Osinski","Fadelchester",true,"Male",22792
"CT","Health & Sports","10-22-2021",5.82,"EWallet","8009 Donnelly Burgs","Ergonomic Concrete Car",4450257,92.48,"Kshlerin DDS",0.97,"23:14:49",8957651,431968,"SCSI",7723286,"system",91.13,"hacking","SAS",6,"Brendan Wisoky","Baileyport",true,"Female",83154
"ID","Kids","10-21-2021",176.19,"Visa","4497 Evan Avenue","Intelligent Concrete Computer","indexing",12.64,"Larkin-McClure",58.73,"16:58:46",551824,745892,"microchip",62.09,4629594,2748971,74.33,9271634,3,"Osbaldo Durgan","South Stephan",2713012,"Male",19828
"AK","Health & Clothing","8-6-2021",453.06,"Visa","3880 Okuneva Burg","Rustic Granite Gloves",false,6.54,"Armstrong, Strosin and Altenwerth",75.51,"4:30:45",2993782,586890,"SCSI","digital",14.66,"backing up",230389,3.80,6,"Mrs. Alexie Ruecker","Brooksmouth",false,"Male",27934
"TX","Toys & Books","10-20-2021",999.80,"MasterCard","882 O'Kon Rapids","Practical Concrete Shoes",3415333,11.92,"Kuphal, Spencer and Blanda",99.98,"20:18:58",6931008,390738,98.52,88.26,47.99,10.35,61.60,6024916,10,"Matt Zulauf IV","New Aprilview",false,"Female",17704
"OR","Jewelery & Books","10-5-2021",98.30,"MasterCard","610 Frederik Stravenue","Rustic Rubber Car",false,60.01,"Considine PhD",49.15,"18:33:55",false,780131,84.86,false,false,2351195,2202779,"bypass",2,"Emmitt Streich","Gusikowskiville",47.01,"Female",98858
"MO","Outdoors & Health","6-2-2021",143.92,"AMEX","254 Zulauf Courts","Awesome Concrete Gloves",5972246,95.71,"McClure, Block and Franecki",71.96,"5:27:31",2330154,523265,"connecting","HDD","navigating",54.48,8393315,"programming",2,"Maeve Heaney","Port Milton",4831335,"Male",26386
"OR","Outdoors & Baby","10-1-2021",878.67,"AMEX","954 Mercedes Route","Incredible Concrete Car","compressing",89.41,"Lakin, O'Connell and Monahan",97.63,"11:0:14","matrix",113025,4810843,"auxiliary","cross-platform",4.16,7608072,5679542,9,"Aurore Stanton","West Nicholausview",7828089,"Female",43348
"WV","Automotive & Electronics","9-4-2021",145.90,"MasterCard","4728 Maribel Plain","Incredible Rubber Pants",76.17,"synthesize","McClure, Block and Franecki",14.59,"4:39:55","AGP",120290,true,88.03,3887381,37.47,87.75,"protocol",10,"Dr. Earnestine Hand","Declanstad",3489105,"Female",58238
"TX","Electronics","2-24-2021",166.50,"AMEX","52273 Raynor Trail","Intelligent Plastic Pants",72.76,62.51,"Larkin-McClure",16.65,"22:36:33",true,269638,45.79,"hard drive","compressing",34.55,"virtual",971238,10,"Mara Hahn Jr.","Jenkinsbury","optical","Female",39392
"UT","Sports","10-19-2021",691.38,"AMEX","434 Tillman Fall","Awesome Cotton Car",6748984,true,"Larkin-McClure",76.82,"5:30:53",19.30,913400,2819226,false,31.53,1609291,71.70,4187083,9,"Delia Nader","Hilllview",false,"Female",74919
"NJ","Health, Baby & Books","3-19-2021",306.25,"AMEX","4158 Laron Estates","Sleek Concrete Shirt",56.36,"PNG","Larkin-McClure",61.25,"15:46:27",39.43,462915,8521606,"application",false,"firewall","1080p",27.74,5,"Rafaela Kovacek","Lake Rafaelland",true,"Female",42124
"SD","Garden & Movies","9-17-2021",47.35,"AMEX","389 Maurine Forks","Rustic Concrete Pants","online",46.35,"Armstrong, Strosin and Altenwerth",9.47,"4:21:22","cross-platform",570970,45.00,95.83,2487961,44.92,53.95,true,5,"Palma Dare","Port Jayda",true,"Male",43463
"TN","Kids & Beauty","9-23-2021",353.50,"EWallet","28857 Veum Park","Practical Cotton Computer",72.99,"protocol","Considine PhD",35.35,"14:36:13","AGP",950954,true,71.72,true,21.38,83.95,true,10,"Arch Schimmel I","Hettingerstad",true,"Female",75527
"KS","Industrial & Games","9-13-2021",388.56,"Cash","29555 Hertha Ridge","Gorgeous Plastic Chair",20.01,82.77,"Larkin-McClure",64.76,"21:54:40","quantify",920288,false,58.47,21.51,"COM","synthesize",7.04,6,"Ms. Zaria Miller","Hoppefort","alarm","Male",43777
"MN","Industrial & Shoes","9-26-2021",667.89,"Visa","757 Marquardt Park","Small Granite Hat",9240951,6.34,"McClure, Block and Franecki",74.21,"2:8:27",1388366,310429,"bluetooth",true,6902643,3977618,"system","PCI",9,"Parker Littel","Jakubowskihaven",true,"Male",60321
"IL","Computers & Garden","5-31-2021",22.48,"AMEX","48255 Schoen Mountain","Ergonomic Concrete Car",5383999,"driver","McClure, Block and Franecki",11.24,"4:21:6",true,549156,1709826,8645795,true,6596554,0.69,51.53,2,"Armand Runolfsson","Russellton","application","Male",88128
"WA","Garden, Shoes & Beauty","9-22-2021",51.90,"MasterCard","223 Mavis Place","Intelligent Wooden Shirt",73.62,33.40,"Lakin, O'Connell and Monahan",17.30,"8:23:31",69.17,839797,false,"protocol",4442253,34.99,97.15,57.09,3,"Alisha Cummerata","Kamrynland",80.15,"Male",21547
"TN","Baby & Sports","9-18-2021",102.94,"Visa","942 Jaime Centers","Awesome Wooden Hat",true,95.53,"Kshlerin DDS",51.47,"12:12:23",91.98,593054,55.69,5.58,true,false,"auxiliary",1897149,2,"Jarrod Cartwright","New Sean",4.19,"Male",50730
"MA","Beauty, Tools & Clothing","6-5-2021",384.35,"Cash","10602 Benedict Extensions","Intelligent Granite Gloves",62.26,86.09,"Auer V",76.87,"1:19:27",4850530,909172,7792684,true,7802602,"cross-platform",3514292,8272093,5,"Johnathon Hoppe","Lake Emelie",1744056,"Male",38207
"PA","Automotive","9-17-2021",126.18,"EWallet","553 Preston Park","Fantastic Concrete Hat","open-source","online","Kuphal, Spencer and Blanda",14.02,"23:18:38","hacking",880591,true,5138827,1999595,2151256,98.25,9243236,9,"Dr. Abner Kuhlman","Keaganville",false,"Male",90774
"MO","Clothing","5-23-2021",64.14,"Cash","863 Veum Mews","Small Rubber Hat",80.16,"HDD","Parisian, Wolff and Gorczany",32.07,"0:28:36",65.98,171582,28.91,1570729,78.80,"index",false,true,2,"Hillary Adams DDS","Dariofurt",false,"Male",93674
"ND","Outdoors","2-23-2021",20.39,"MasterCard","1872 Kiera Well","Practical Steel Table",40.11,true,"Lakin, O'Connell and Monahan",20.39,"9:29:29",false,970195,false,78.51,68.26,28.28,90.74,41.01,1,"Dr. Declan Marks","North Laron",false,"Male",39840
"PA","Automotive, Industrial & Tools","10-19-2021",161.64,"Visa","3322 Christina Drives","Rustic Concrete Shoes",36.35,26.11,"Wiegand-Tillman",40.41,"2:44:49",false,343739,11.84,false,61.42,true,false,7661600,4,"Ms. Elisa Purdy","Rettaborough",3792536,"Male",58823
