hard drive,sensor,Department,ProductPrice,Gender,Date,Time,City,PaymentType,Total,microchip,Address,Store,InvoiceId,hard drive,PostalCode,port,Quantity,State,Product,CustomerName,port
"programming",false,"Industrial",13.67,"Female","3-14-2021","19:44:42","West Kirstenshire","Cash",27.34,"capacitor","936 Kautzer Vista","Auer V",533576,"port",25932,79.35,2,"UT","Small Granite Hat","Raegan Kassulke",49.86
"port",true,"Tools",35.65,"Male","6-20-2021","13:43:52","Loumouth","EWallet",285.20,"connecting","900 Kovacek Expressway","Wiegand-Tillman",653800,"cross-platform",40703,"transmit",8,"RI","Sleek Plastic Pants","Alexander Corwin","JSON"
"navigate","compress","Movies",13.82,"Male","8-3-2021","19:13:44","Lake Allison","MasterCard",138.20,1917290,"8221 Mueller Light","McClure, Block and Franecki",129821,"indexing",19351,71.48,10,"WA","Fantastic Concrete Car","Mrs. Trycia Doyle",41.54
90.32,86.76,"Movies, Outdoors & Kids",43.43,"Male","10-17-2021","22:51:52","Koeppview","EWallet",347.44,2.15,"87114 Durgan Avenue","Considine PhD",700059,98.61,38975,95.87,8,"AK","Sleek Cotton Chair","Juvenal Medhurst III",92.31
17.62,true,"Jewelery, Industrial & Garden",16.01,"Male","10-2-2021","3:55:55","Ocieview","AMEX",160.10,57.24,"5054 Davis Fields","Auer V",588324,56.06,54610,89.68,10,"SD","Practical Cotton Table","Philip Ebert Sr.",49.57
99.24,"feed","Kids",17.89,"Female","8-14-2021","19:6:15","New Glendaview","Visa",35.78,8322901,"2401 August Rapid","Auer V",375630,10.98,10152,46.89,2,"WI","Intelligent Wooden Hat","Mollie Bernhard",43.37
5532312,88.93,"Games",48.27,"Female","9-23-2021","20:28:41","Zulauffurt","AMEX",144.81,6937142,"345 Feest Road","Considine PhD",250899,4879151,99153,3034661,3,"TX","Incredible Granite Chair","Cortez O'Hara",1063653
4871517,"HTTP","Automotive",83.22,"Female","9-16-2021","21:55:37","North Bo","AMEX",748.98,3.04,"323 Kirlin Street","Kshlerin DDS",769314,3786125,75782,5619910,9,"MT","Awesome Cotton Shirt","Makayla Hegmann",8788106
1238597,7862298,"Toys & Movies",37.81,"Female","5-29-2021","23:57:41","Godfreybury","Cash",75.62,97.26,"5429 Grant Junctions","Kshlerin DDS",482168,1951332,57584,29.65,2,"ND","Ergonomic Concrete Computer","Payton Sipes",89.36
false,48.30,"Health, Computers & Kids",95.66,"Female","8-14-2021","8:22:49","South Junior","AMEX",478.30,false,"8587 Glover Station","Auer V",116934,true,64996,86.73,5,"IA","Rustic Wooden Computer","Miss Ariane Schneider",83.18
5.26,true,"Toys & Kids",14.47,"Male","10-4-2021","8:42:31","Thompsonland","Cash",57.88,false,"52005 Bahringer Meadows","Kshlerin DDS",232322,44.48,14963,40.95,4,"NV","Practical Rubber Chair","Gregoria Jenkins",37.51
87.38,83.42,"Health, Shoes & Grocery",64.99,"Female","6-20-2021","5:56:41","South Zacherychester","Cash",259.96,false,"933 Rath Mountains","Lakin, O'Connell and Monahan",347935,25.81,16999,false,4,"UT","Intelligent Steel Gloves","Fanny Stanton III",true
2621539,"programming","Clothing",95.28,"Female","3-31-2021","0:39:54","Kerlukeview","Cash",190.56,57.26,"719 Josiah Stream","Parisian, Wolff and Gorczany",799981,4061929,97996,"PCI",2,"WA","Fantastic Plastic Gloves","Chesley Runte","back-end"
5679782,3620762,"Garden & Outdoors",35.39,"Female","5-14-2021","6:33:7","Gibsonport","EWallet",176.95,"HTTP","10161 Kole Forge","Kuphal, Spencer and Blanda",934597,6414314,21724,7589172,5,"UT","Awesome Granite Computer","Dr. Oswald Batz",4775358
"mobile",true,"Sports & Music",81.21,"Female","2-22-2021","14:51:38","East Yesenia","EWallet",730.89,true,"13232 Reynolds Pine","Parisian, Wolff and Gorczany",817574,"hard drive",21099,true,9,"WY","Gorgeous Cotton Hat","Dr. Gillian Grimes",true
"bluetooth",true,"Tools, Beauty & Shoes",63.56,"Male","9-2-2021","1:49:57","Haagstad","Visa",635.60,3509073,"7254 Harris Radial","Lakin, O'Connell and Monahan",298139,"transmitting",21415,7.98,10,"NY","Gorgeous Rubber Table","Nils Bechtelar",78.44
true,0.58,"Home, Computers & Electronics",27.00,"Male","10-25-2021","2:30:44","Tyreekview","MasterCard",243.00,true,"6284 Kutch Walks","Armstrong, Strosin and Altenwerth",833462,true,67216,9032125,9,"NC","Ergonomic Plastic Gloves","Bennett Medhurst",7432475
true,81.78,"Automotive",84.81,"Male","12-22-2020","5:52:30","New Davonview","Visa",169.62,true,"945 Rowe Crest","McClure, Block and Franecki",900648,true,30288,17.10,2,"WY","Intelligent Cotton Shirt","Mr. Muhammad Bartell",26.47
false,5309927,"Beauty",3.05,"Male","9-7-2021","14:3:44","New Dudley","EWallet",9.15,"compressing","4323 Gutmann Hill","Armstrong, Strosin and Altenwerth",622367,false,38815,"driver",3,"NY","Sleek Granite Car","Alphonso Denesik","JSON"
"compressing",true,"Outdoors & Toys",54.44,"Male","7-26-2021","7:12:21","Pfannerstilltown","MasterCard",272.20,"online","90852 Domenica Spring","Wiegand-Tillman",576599,"alarm",51276,2.06,5,"NE","Practical Granite Pants","Dr. Alden Veum",10.61
9356454,773925,"Games, Sports & Shoes",53.27,"Male","1-29-2021","11:53:55","Port Candido","Cash",213.08,"reboot","990 Kris Ranch","Larkin-McClure",232499,1474962,60800,95.47,4,"ND","Awesome Concrete Chair","Morgan Bechtelar",65.51
88.09,11.54,"Home & Toys",55.37,"Male","8-31-2021","9:26:55","New Lyricfurt","EWallet",276.85,false,"25967 Miller Ramp","Lakin, O'Connell and Monahan",649372,50.38,29655,true,5,"NY","Rustic Steel Pants","Wilfrid Will",true
68.60,false,"Automotive & Outdoors",12.78,"Female","9-22-2021","5:22:2","North Buster","Cash",102.24,8.14,"5113 Jana Branch","Parisian, Wolff and Gorczany",185865,4.70,19772,"AGP",8,"IN","Small Cotton Gloves","Miles Nitzsche","program"
3016430,22.53,"Movies",18.35,"Female","4-30-2021","9:54:2","West Curtis","Visa",91.75,true,"8254 Abernathy Brook","Considine PhD",978911,9285979,50143,3099189,5,"IA","Awesome Plastic Chair","Mrs. Lora Gerhold",8342577
845218,15423,"Clothing, Music & Grocery",15.91,"Male","10-4-2021","22:26:52","Gaylordbury","MasterCard",79.55,"cross-platform","163 West Drives","Considine PhD",561994,5401894,62885,"hack",5,"TX","Intelligent Granite Pants","Patrick Wehner","back-end"
68.00,"open-source","Home",87.45,"Male","9-26-2021","15:38:38","Port Berthaport","MasterCard",349.80,83.78,"969 Lucile Square","Kuphal, Spencer and Blanda",975844,80.22,12259,"XSS",4,"OK","Rustic Plastic Pants","Deja Maggio","auxiliary"
true,false,"Tools, Beauty & Shoes",40.21,"Female","12-22-2020","19:22:9","Cartwrightberg","MasterCard",402.10,11.28,"182 Camron Rapids","Considine PhD",776272,true,73922,true,10,"CO","Gorgeous Rubber Gloves","Perry Corkery",true
3862117,88.56,"Games",2.47,"Male","10-8-2021","20:45:21","West Kianport","Visa",9.88,"generating","905 Larissa Ferry","Considine PhD",218317,1331921,26468,97.64,4,"MA","Ergonomic Granite Chair","Mrs. Damaris Jakubowski",76.64
33.70,32.93,"Clothing",28.22,"Female","8-29-2021","22:10:36","Dahliamouth","Visa",84.66,49.03,"41767 Jewel Court","McClure, Block and Franecki",722242,45.16,23313,69.00,3,"OR","Small Wooden Chair","Cydney Gerhold",38.37
"matrix","IB","Sports, Grocery & Baby",86.16,"Female","9-10-2021","0:36:3","Lake Zachariah","Cash",258.48,"XML","23287 Anna Points","Kuphal, Spencer and Blanda",177796,"SCSI",84325,69.21,3,"KS","Rustic Granite Shirt","Willard Lang",65.30
1951731,9326987,"Kids, Games & Computers",68.64,"Female","10-3-2021","3:37:40","Isadorefort","Visa",480.48,855655,"696 Stoltenberg Courts","Wiegand-Tillman",566474,493829,77671,417824,7,"NH","Awesome Plastic Computer","Leonora Leuschke",2011910
4189097,false,"Garden & Shoes",39.75,"Female","9-16-2021","21:4:8","Garretmouth","Cash",357.75,4912648,"5780 Marcel Loaf","Considine PhD",866740,7908069,84739,8690547,9,"CO","Awesome Steel Shoes","Anjali Hermiston",2362126
"auxiliary",false,"Baby & Computers",81.97,"Male","8-26-2021","2:34:15","Waldofurt","Visa",327.88,15.09,"912 Schowalter Forge","Armstrong, Strosin and Altenwerth",977549,"open-source",67699,"cross-platform",4,"CT","Incredible Plastic Gloves","Ms. Clement Sanford","connect"
true,27.61,"Tools, Garden & Grocery",81.40,"Male","10-17-2021","6:23:22","West Wilbertfort","AMEX",407.00,false,"9582 Reichel Rest","Lakin, O'Connell and Monahan",382458,true,61484,false,5,"AZ","Awesome Steel Pants","Willa Kunze",false
true,94.02,"Automotive & Health",96.78,"Male","10-4-2021","5:55:55","Wizaport","AMEX",580.68,true,"5081 Travon Walk","Kuphal, Spencer and Blanda",111776,true,64267,30.09,6,"IA","Practical Cotton Hat","Nathaniel Johnson",99.00
false,false,"Electronics & Sports",62.93,"Male","3-28-2021","7:42:38","Port Asahaven","Cash",377.58,51.45,"634 Marlen Hollow","McClure, Block and Franecki",749336,false,18239,83.86,6,"ME","Incredible Cotton Hat","Westley Pfannerstill",56.46
7246207,6540603,"Health",0.04,"Female","8-12-2021","12:9:57","Morarton","EWallet",0.20,2904156,"12002 Jake Spring","Wiegand-Tillman",930584,6376378,61060,"bus",5,"AL","Rustic Rubber Shoes","Keyshawn Hickle","bus"
"online",56.81,"Electronics, Garden & Outdoors",11.08,"Male","6-8-2021","10:26:20","Smithbury","MasterCard",44.32,80397,"75330 Conn Track","Larkin-McClure",112578,"cross-platform",78730,508435,4,"ND","Small Rubber Car","Tina Lesch DDS",6304350
"generate",23.38,"Kids, Outdoors & Computers",57.54,"Female","9-19-2021","19:15:23","Ullrichbury","Visa",575.40,"program","88569 Golden Lakes","Kuphal, Spencer and Blanda",325953,"multi-byte",19671,false,10,"NM","Gorgeous Concrete Table","Jesse Quigley",true
60.97,false,"Computers & Kids",53.89,"Male","3-1-2021","21:35:21","Loyalstad","AMEX",269.45,0.99,"294 Jeffery Forest","Considine PhD",116335,97.45,44761,20.90,5,"WA","Intelligent Wooden Car","Katlyn Stanton",93.40
42.68,39.73,"Industrial & Tools",7.22,"Female","7-17-2021","15:17:5","Candiceville","Visa",64.98,81.88,"81630 King Landing","Wiegand-Tillman",354739,54.66,65272,78.16,9,"AK","Sleek Rubber Hat","Tianna Kilback",47.62
70.57,"application","Games",31.81,"Male","10-23-2021","6:59:29","West Coleland","MasterCard",63.62,12.52,"7211 Brekke Isle","Lakin, O'Connell and Monahan",264879,81.99,56573,1355004,2,"CO","Practical Rubber Hat","Judge Bode",5840714
5705730,"microchip","Computers, Baby & Kids",36.15,"Male","10-24-2021","6:40:37","Stantontown","MasterCard",36.15,"auxiliary","5246 Wuckert Burgs","Armstrong, Strosin and Altenwerth",656565,2755030,11811,"FTP",1,"HI","Fantastic Granite Gloves","Golden Kreiger","application"
false,97.44,"Books",3.02,"Male","10-8-2021","7:31:13","Vitaberg","Visa",18.12,6947855,"24458 King Lake","Auer V",486051,false,94045,true,6,"MD","Rustic Steel Table","Keenan Cruickshank I",false
false,false,"Health & Tools",19.30,"Female","3-20-2021","1:17:3","Wardchester","Cash",193.00,78.23,"20813 Raynor Estate","Wiegand-Tillman",157279,true,24498,"optical",10,"OH","Fantastic Plastic Pants","Dr. Lilla Cummerata","hard drive"
"transmitter",false,"Tools",8.74,"Female","10-3-2021","8:18:53","Mariestad","Cash",78.66,5.37,"11997 Kuvalis Glens","Wiegand-Tillman",239899,"AGP",82267,98.28,9,"AK","Gorgeous Wooden Gloves","Johanna Steuber",68.05
20.07,7204856,"Outdoors",87.49,"Female","9-21-2021","17:11:54","North Andreview","Visa",612.43,9175659,"47639 Stroman Spur","Armstrong, Strosin and Altenwerth",411270,56.18,55542,false,7,"AL","Practical Granite Table","Rachelle Farrell PhD",false
false,"virtual","Health, Books & Jewelery",13.15,"Male","10-12-2021","5:5:20","Port Aliya","MasterCard",26.30,40.89,"8434 Augustine Meadows","Wiegand-Tillman",754317,true,28033,"transmit",2,"MN","Small Cotton Shoes","Harrison Hoeger","online"
"virtual",65.23,"Garden & Jewelery",60.86,"Male","1-11-2021","23:36:24","Ottishaven","MasterCard",608.60,98.15,"57833 Jimmy Knolls","Considine PhD",145729,"reboot",30971,76.65,10,"NV","Ergonomic Cotton Hat","Mr. Victor Green",73.55
7741657,false,"Jewelery & Clothing",63.22,"Male","4-16-2021","10:45:3","North Ronside","AMEX",505.76,65.35,"924 Ruecker Oval","McClure, Block and Franecki",924536,9319409,74957,"SQL",8,"FL","Practical Wooden Car","Helen Donnelly","feed"
6163696,"bypassing","Kids",22.36,"Female","8-14-2021","9:39:4","Paucekport","Visa",22.36,false,"86051 Bernier Prairie","McClure, Block and Franecki",259725,1753822,87948,true,1,"ND","Fantastic Rubber Pants","Anika Kertzmann",true
true,true,"Shoes, Games & Electronics",52.57,"Female","6-24-2021","12:44:31","West Mauricefurt","Cash",525.70,47.20,"9439 Green Cliff","Wiegand-Tillman",515963,false,41133,13.41,10,"CA","Small Granite Car","Mr. Stephen Heaney",10.24
8.10,31.93,"Electronics",3.87,"Male","10-21-2021","4:13:6","Stehrburgh","Visa",7.74,true,"120 Madisen Forks","Auer V",285152,47.29,43214,true,2,"OR","Practical Wooden Computer","Cesar Hahn",true
2923463,59.88,"Books & Baby",99.56,"Male","7-14-2021","5:42:17","Jewelshire","EWallet",796.48,65.46,"968 Thompson Landing","McClure, Block and Franecki",498334,6931657,54558,false,8,"ID","Practical Concrete Shoes","Britney Roberts",true
false,43.90,"Health",40.87,"Female","10-18-2021","22:43:33","Farrellfort","Visa",326.96,3104057,"71377 Anika Ports","Larkin-McClure",866424,false,45514,3921893,8,"WV","Ergonomic Rubber Chair","Monroe Brekke",7066957
true,"SCSI","Games",63.07,"Male","8-13-2021","17:21:12","North Rhiannamouth","AMEX",630.70,false,"3997 Lesch Shoal","Lakin, O'Connell and Monahan",219541,true,95708,"transmitting",10,"UT","Intelligent Wooden Car","Erika Price","COM"
8205158,"system","Outdoors",7.20,"Male","3-16-2021","5:22:34","South Drewfort","Cash",50.40,"digital","1342 Ramona Center","Kuphal, Spencer and Blanda",270537,7076173,39384,46.50,7,"CO","Ergonomic Granite Gloves","Chester Mosciski",16.66
true,62.22,"Jewelery & Electronics",11.42,"Male","9-7-2021","6:42:49","North Fern","AMEX",114.20,false,"89352 Jovanny Mall","Kshlerin DDS",226909,false,10270,false,10,"WA","Rustic Cotton Pants","Kendra Feest",true
false,true,"Kids, Clothing & Electronics",26.74,"Male","4-18-2021","16:13:15","Lake Jordyn","AMEX",213.92,62.43,"32362 Koch Mount","Larkin-McClure",397056,false,92436,"bandwidth",8,"ID","Intelligent Plastic Hat","Mrs. Gisselle Larkin","SAS"
30.52,1271686,"Home & Books",96.54,"Female","7-18-2021","12:56:30","New Chelsey","Visa",386.16,"program","60904 Desmond Villages","Armstrong, Strosin and Altenwerth",657019,66.61,52748,"hack",4,"SD","Sleek Wooden Shirt","Caitlyn Bahringer","programming"
1268057,"connecting","Clothing & Industrial",46.27,"Male","4-10-2021","16:14:5","Langfort","EWallet",323.89,false,"511 Wolf Ford","Kshlerin DDS",347750,3974079,68569,66.73,7,"NY","Intelligent Rubber Table","Cory Howe Sr.",62.79
true,4851409,"Sports",31.12,"Male","10-3-2021","23:12:40","Hickleshire","Visa",280.08,889692,"1916 Kim Loaf","Parisian, Wolff and Gorczany",125122,false,87561,59639,9,"NJ","Practical Granite Chair","Aubrey Harber III",5125339
false,5621112,"Outdoors, Beauty & Automotive",99.67,"Male","7-3-2021","20:35:32","New Carlihaven","EWallet",199.34,8.95,"318 Trantow Springs","Kuphal, Spencer and Blanda",240143,true,47617,1.95,2,"IN","Awesome Steel Table","Chauncey Wehner",11.09
4422754,60.00,"Home",30.08,"Male","9-28-2021","22:42:45","McCulloughton","Cash",60.16,"digital","1732 Brown Landing","Kuphal, Spencer and Blanda",374567,4844843,22247,95.69,2,"OH","Intelligent Steel Table","Jakayla Heller",65.04
749071,14.52,"Outdoors",86.65,"Male","6-12-2021","14:10:42","Kuhlmanstad","Visa",259.95,57.08,"4941 Rosario Summit","Kuphal, Spencer and Blanda",768248,6645713,35097,false,3,"NV","Intelligent Concrete Pants","Lola Hahn",true
71.96,"hard drive","Garden, Music & Grocery",24.67,"Male","4-16-2021","17:59:48","Port Jerad","EWallet",123.35,false,"40864 Auer Locks","McClure, Block and Franecki",372812,8.45,31117,44.38,5,"OH","Fantastic Granite Computer","Ms. Deion Cummings",3.69
"navigating",490490,"Toys, Jewelery & Grocery",45.90,"Female","10-14-2021","1:9:1","Jalenfurt","MasterCard",321.30,"multi-byte","32006 Milan Curve","Armstrong, Strosin and Altenwerth",452256,"hacking",88837,false,7,"SD","Small Steel Shoes","Miss Selina Hamill",true
5959421,983051,"Electronics & Baby",45.44,"Male","10-4-2021","0:20:10","Janisshire","AMEX",363.52,8428419,"801 Kemmer Road","Kuphal, Spencer and Blanda",632379,3261053,38834,2665300,8,"LA","Intelligent Granite Shirt","Carissa Beatty",8016254
74.90,true,"Baby, Sports & Industrial",48.30,"Male","7-11-2021","15:29:22","Crooksland","EWallet",193.20,"CSS","74209 Ryleigh Light","McClure, Block and Franecki",188273,86.72,17449,10.19,4,"IL","Intelligent Steel Shirt","Paul Emard",7.11
"calculate",2.08,"Health, Shoes & Sports",7.79,"Female","10-18-2021","6:12:37","New Taryn","Cash",38.95,5.68,"22877 Crona Valleys","Lakin, O'Connell and Monahan",327219,"AGP",84634,true,5,"KY","Intelligent Concrete Chair","Eliza Heathcote",false
32.86,false,"Movies & Automotive",6.89,"Male","2-20-2021","16:14:41","Bechtelarport","AMEX",48.23,82.04,"5568 Rickie Hills","Larkin-McClure",920249,78.49,66521,9480806,7,"CA","Fantastic Rubber Computer","Mr. Angelina Marquardt",1268074
"parse",2267740,"Beauty, Electronics & Shoes",2.84,"Male","8-27-2021","15:7:25","Lake Manuelchester","EWallet",22.72,"HDD","76688 Julio Throughway","Auer V",478052,"feed",74883,"array",8,"IN","Rustic Wooden Computer","Tito Pollich","synthesize"
false,5071245,"Beauty",77.03,"Female","10-7-2021","8:49:35","South Brialand","MasterCard",385.15,"compressing","52640 Fay Key","Considine PhD",787442,true,82269,"connect",5,"MA","Awesome Wooden Gloves","Daisha White III","JBOD"
75.97,17.79,"Books & Shoes",0.86,"Male","10-24-2021","18:57:2","South Joanniehaven","EWallet",8.60,9353539,"1284 Doyle Common","Lakin, O'Connell and Monahan",838100,33.74,29413,"driver",10,"NJ","Intelligent Wooden Gloves","Will Funk","hard drive"
"connect","overriding","Beauty & Clothing",17.31,"Female","6-16-2021","11:13:38","Kemmermouth","Visa",138.48,2832108,"85157 Weber Avenue","Parisian, Wolff and Gorczany",722158,"transmit",69024,7704446,8,"SC","Fantastic Plastic Shoes","Angelo Hermann",6388755
true,true,"Sports",50.64,"Female","3-15-2021","19:20:35","Port Myrtle","AMEX",455.76,98.84,"997 Claude Burg","McClure, Block and Franecki",822452,true,30091,18.75,9,"TN","Rustic Rubber Pants","Leonardo Runolfsdottir",91.42
13.93,false,"Movies, Tools & Music",9.57,"Female","10-21-2021","22:58:20","Leannonfurt","EWallet",38.28,56.25,"8788 Norris Summit","Kshlerin DDS",972854,52.75,34568,false,4,"NE","Gorgeous Concrete Shirt","Mr. Shania Swaniawski",true
"primary",130579,"Music & Industrial",82.72,"Male","10-11-2021","0:16:5","Port Modesto","Visa",413.60,"online","181 Johnson Street","Auer V",831692,"back-end",26626,true,5,"WV","Ergonomic Steel Chair","Eli Kerluke",false
950455,"XSS","Computers & Baby",47.95,"Female","9-4-2021","19:28:16","Rennerview","AMEX",191.80,"navigate","9876 Dennis Turnpike","Considine PhD",512934,2000200,80210,1894976,4,"NC","Practical Granite Chair","Cloyd Reichert DDS",2585874
793145,16.14,"Garden & Shoes",59.69,"Female","1-14-2021","0:35:52","Laurinestad","Visa",179.07,19.81,"97932 Schulist Well","Considine PhD",768389,5061551,45357,false,3,"AL","Gorgeous Rubber Pants","Theresia Gerhold",false
7852661,3609793,"Sports & Toys",86.66,"Male","10-14-2021","18:44:54","Hegmannstad","EWallet",606.62,"panel","2358 Sauer Row","Armstrong, Strosin and Altenwerth",172728,3232304,46706,true,7,"DE","Intelligent Plastic Computer","Natasha Mann",true
71.01,94.08,"Industrial",36.04,"Male","10-2-2021","22:46:28","Lake Yasmin","Visa",324.36,false,"49665 Yvette Loop","McClure, Block and Franecki",565764,36.41,23747,"GB",9,"MN","Awesome Cotton Car","Riley Flatley","firewall"
true,61.47,"Grocery",9.43,"Female","10-15-2021","14:47:10","South Ubaldo","MasterCard",37.72,false,"196 Rohan Valleys","Larkin-McClure",726869,true,62906,true,4,"NJ","Rustic Concrete Car","Jessika Jerde Jr.",true
"primary",8319209,"Electronics, Games & Outdoors",92.98,"Male","8-21-2021","22:30:31","North Rosachester","AMEX",836.82,false,"541 Karl Estates","Armstrong, Strosin and Altenwerth",574687,"transmit",89668,false,9,"RI","Awesome Steel Shoes","Ms. Kaylie Hauck",false
"multi-byte",17.18,"Sports",3.15,"Female","10-13-2021","21:29:10","Schneiderport","Visa",12.60,5358554,"69363 Lang Views","Kuphal, Spencer and Blanda",287067,"XML",28436,"RAM",4,"UT","Small Rubber Pants","Easter Russel II","application"
false,83.99,"Games",82.18,"Female","6-24-2021","1:25:38","Port Uniqueberg","MasterCard",246.54,3988560,"165 Palma Union","Wiegand-Tillman",292020,false,87144,false,3,"NY","Fantastic Wooden Table","Mr. Adaline Mills",true
8872822,"matrix","Games, Clothing & Shoes",15.17,"Female","7-2-2021","8:44:24","Presleyborough","Cash",91.02,"input","3129 Gregorio Mall","Kshlerin DDS",975668,862677,80204,true,6,"WA","Small Concrete Chair","Eduardo Casper",false
true,false,"Movies & Sports",39.82,"Female","7-31-2021","19:20:34","Felipebury","MasterCard",119.46,65.80,"7267 Bo Ramp","Considine PhD",484073,true,35710,6334148,3,"NJ","Ergonomic Steel Pants","Miss Keith Hauck",1365789
81.11,true,"Garden & Movies",83.98,"Male","8-21-2021","8:11:38","West Jaydaville","Cash",167.96,19.93,"320 Legros Pines","Kshlerin DDS",748364,16.39,11929,true,2,"AK","Ergonomic Rubber Pants","Toni Robel",true
7766485,4096928,"Garden, Kids & Clothing",84.86,"Female","6-13-2021","10:34:34","New Stephanieberg","AMEX",848.60,"neural","102 Torrey Prairie","Kuphal, Spencer and Blanda",536158,3376119,34255,"navigating",10,"CA","Gorgeous Steel Car","Shannon Baumbach","synthesizing"
62.54,"navigate","Clothing, Health & Jewelery",56.76,"Male","5-3-2021","14:19:44","Pansyview","AMEX",170.28,true,"1294 Marks Camp","Kuphal, Spencer and Blanda",413829,0.95,72667,5089272,3,"TN","Awesome Rubber Shoes","Miss Armando Heidenreich",9382518
"open-source",5230271,"Health & Clothing",65.45,"Female","9-20-2021","16:31:33","Port Deonte","EWallet",458.15,false,"38800 Larkin Drives","Wiegand-Tillman",266203,"IB",26822,"port",7,"FL","Practical Granite Table","Carolina Langworth","navigating"
4388019,6.74,"Shoes, Jewelery & Home",80.87,"Male","7-12-2021","6:54:15","Lake Lillyville","MasterCard",161.74,true,"664 Tyler Burg","Kshlerin DDS",764806,1905149,64613,55.08,2,"SD","Rustic Plastic Shirt","Edwardo MacGyver",51.57
false,74.13,"Electronics, Music & Books",5.18,"Male","10-1-2021","14:31:23","Port Vernon","MasterCard",36.26,true,"8645 Cummerata Common","Wiegand-Tillman",641798,false,34927,true,7,"AK","Incredible Wooden Pants","Viola Torphy",true
84.89,20.87,"Shoes, Automotive & Clothing",77.08,"Female","8-25-2021","14:12:51","East Jack","MasterCard",385.40,true,"115 Marvin Island","Parisian, Wolff and Gorczany",454813,60.47,44367,false,5,"AL","Incredible Cotton Shoes","Ted Turner Jr.",true
30.24,2664248,"Outdoors",9.72,"Male","10-11-2021","1:5:30","Carolinaland","Cash",58.32,8654504,"1327 Thiel Light","Larkin-McClure",698723,8.56,19795,"quantifying",6,"WI","Rustic Concrete Chair","Tod Pouros","solid state"
288032,4021937,"Outdoors",62.11,"Male","9-29-2021","16:25:8","West Paulinemouth","Cash",62.11,"IB","761 Pouros Manor","Lakin, O'Connell and Monahan",341750,2973412,66051,"CSS",1,"UT","Awesome Granite Pants","Maggie Hayes","SMTP"
5350747,4.59,"Books & Computers",99.38,"Male","6-28-2021","11:11:24","Port Morganside","Visa",695.66,true,"2305 Jaquelin Cliffs","Considine PhD",506579,6030512,89870,6084751,7,"FL","Intelligent Wooden Gloves","Gilda Bashirian III",8705704
"pixel","matrix","Shoes",10.41,"Male","9-24-2021","22:54:32","Newtontown","EWallet",62.46,41.05,"41899 Hettinger Causeway","McClure, Block and Franecki",346694,"copy",92676,"CSS",6,"WV","Incredible Cotton Hat","Karen Kuhic","PNG"
83.51,false,"Games",91.34,"Female","7-5-2021","21:43:40","New Maymieland","Cash",548.04,22.78,"3437 Corkery Causeway","Wiegand-Tillman",219182,18.84,13409,55.16,6,"CA","Rustic Steel Computer","Elda Steuber",51.23
true,0.39,"Home, Music & Beauty",20.74,"Male","6-28-2021","9:1:3","Lake Alveraland","EWallet",20.74,true,"188 Rosemarie Summit","Larkin-McClure",546139,true,19394,"monitor",1,"KS","Sleek Rubber Hat","Devan Runte","hacking"
5111481,5082558,"Sports",19.71,"Male","8-29-2021","9:57:20","South Mariloufort","EWallet",137.97,63.67,"85150 Becker Manor","Considine PhD",246614,5296949,89595,9077626,7,"VA","Ergonomic Cotton Table","Leann Dach Sr.",1471406
"quantify","open-source","Kids",74.46,"Male","10-24-2021","19:19:10","Pagacmouth","Visa",446.76,6217345,"23471 Kertzmann Island","Lakin, O'Connell and Monahan",989552,"backing up",45439,8781686,6,"MT","Rustic Granite Shirt","Giovani Schaefer",3682678
"reboot",96.14,"Electronics",75.18,"Female","10-23-2021","0:5:8","Rudystad","AMEX",601.44,2526727,"2123 Fadel Underpass","Wiegand-Tillman",418046,"HDD",10824,false,8,"SC","Practical Steel Shirt","America Flatley",false
7638528,false,"Shoes, Grocery & Baby",60.46,"Male","10-6-2021","14:58:5","Janhaven","MasterCard",423.22,99.92,"70152 DuBuque Coves","Armstrong, Strosin and Altenwerth",602910,4069672,71817,"panel",7,"ID","Sleek Steel Gloves","Dr. Cleveland O'Kon","cross-platform"
"SCSI",1996605,"Baby",64.88,"Male","5-3-2021","2:34:27","Urielberg","EWallet",389.28,20.72,"5692 Angelo Orchard","Considine PhD",602276,"primary",91419,true,6,"WY","Incredible Cotton Shoes","Ms. Ivy Sporer",true
false,71.80,"Outdoors & Automotive",9.37,"Female","12-10-2020","21:11:55","Lake Quintenbury","Visa",46.85,false,"172 Roger Drive","Auer V",761021,false,19210,34.44,5,"WV","Small Rubber Shirt","Edna Stark",34.06
false,4532693,"Games & Automotive",4.44,"Male","5-28-2021","23:51:54","Sheldonton","EWallet",31.08,59.41,"22002 Gottlieb Port","Armstrong, Strosin and Altenwerth",819247,false,82545,"IB",7,"TN","Practical Plastic Hat","Ora Kuphal","auxiliary"
"sensor","programming","Industrial & Clothing",39.21,"Female","9-5-2021","12:23:23","South Zettaville","AMEX",78.42,8107919,"87513 Marcia Road","Auer V",427107,"bandwidth",83120,"driver",2,"UT","Small Steel Shoes","Ms. Jonatan Considine","PNG"
true,"FTP","Health & Industrial",98.73,"Male","4-3-2021","13:6:39","West Willieland","MasterCard",98.73,true,"65123 Jodie Parks","Kuphal, Spencer and Blanda",465166,true,77153,"SAS",1,"SC","Fantastic Granite Hat","Irwin Stiedemann","feed"
