hard drive,PaymentType,bandwidth,State,Quantity,City,capacitor,pixel,CustomerName,Department,PostalCode,Date,Time,application,Address,Total,InvoiceId,Product,Store,ProductPrice,Gender
196540,"Visa",2115887,"TX",6,"Blancafort",338550,"microchip","Mrs. Trevor Watsica","Jewelery",93692,"2-26-2021","17:28:11","array","5575 Elvis Rapids",281.76,364240,"Fantastic Rubber Car","Considine PhD",46.96,"Female"
7226503,"EWallet",true,"IN",3,"South Ashtynfort","open-source",97.10,"Garnet Gerlach","Jewelery",97566,"8-2-2021","20:55:4",true,"3106 Paxton Locks",15.48,924572,"Ergonomic Granite Chair","Larkin-McClure",5.16,"Female"
false,"MasterCard",6.20,"NC",4,"North Willy",29.64,false,"Mr. Meda McKenzie","Computers, Music & Tools",88631,"7-13-2021","21:33:44",9218092,"494 Leffler Island",286.28,946412,"Sleek Wooden Chair","Wiegand-Tillman",71.57,"Male"
true,"Cash","CSS","OK",1,"Port Chanelchester",87.60,true,"Alphonso Pfannerstill","Jewelery, Toys & Books",39142,"10-3-2021","11:21:48",7879302,"6108 Erick Ranch",41.59,489207,"Rustic Rubber Table","McClure, Block and Franecki",41.59,"Female"
true,"AMEX",89.17,"ME",3,"Hettingerstad","1080p",1515211,"Elda Sporer","Games",60235,"8-5-2021","4:7:14",false,"43958 Ayana Expressway",54.39,685232,"Sleek Plastic Table","Larkin-McClure",18.13,"Female"
87.84,"AMEX",50.16,"OH",2,"Verdieside",73.63,33.34,"Ray Monahan","Kids, Toys & Tools",65352,"9-17-2021","19:7:20",69.52,"29834 Keyon Divide",22.62,137077,"Practical Rubber Table","Lakin, O'Connell and Monahan",11.31,"Female"
true,"Visa",45.66,"VT",10,"Tellyfurt","calculating","multi-byte","Delores Cartwright V","Baby",77482,"2-4-2021","22:13:0",67.35,"17615 Catalina Cliffs",577.50,495502,"Fantastic Cotton Pants","Auer V",57.75,"Male"
"SDD","Visa",4250283,"WA",1,"New Kayley",true,1733512,"Braxton Emmerich IV","Toys",86672,"10-20-2021","7:46:40",3317769,"36239 Imogene Road",9.07,686248,"Small Rubber Chair","Considine PhD",9.07,"Female"
8595710,"MasterCard",2.09,"MO",4,"Georgeview","application",8281453,"Mrs. Aglae Nikolaus","Electronics & Beauty",73718,"10-19-2021","2:10:54",true,"9519 Loma Ranch",240.76,351949,"Fantastic Steel Table","Auer V",60.19,"Female"
1404753,"Cash",false,"NV",7,"South Carolanneville",6950556,"bus","Alberto Luettgen","Industrial & Outdoors",55917,"10-3-2021","18:41:20",2240073,"73880 Lakin Junction",68.81,187601,"Awesome Rubber Shirt","Considine PhD",9.83,"Male"
false,"EWallet","program","WA",3,"Carrieland","redundant",8463199,"Ms. Shana Sporer","Tools, Kids & Home",40215,"10-20-2021","3:35:33","online","135 Kemmer Ridges",58.95,403103,"Intelligent Cotton Hat","Kuphal, Spencer and Blanda",19.65,"Female"
3937997,"Visa",56.10,"SD",3,"Howeburgh",7674890,"JBOD","Lilian Veum IV","Outdoors",29345,"9-26-2021","16:27:11",12.37,"52783 Feest Fall",3.27,191784,"Practical Cotton Shirt","Parisian, Wolff and Gorczany",1.09,"Female"
4223483,"Visa",58.02,"OH",2,"Stokesstad","navigating",57.12,"Lawson Marvin","Home",49870,"2-28-2021","10:28:22",80.18,"913 Oma Port",68.86,446887,"Gorgeous Cotton Hat","Considine PhD",34.43,"Female"
true,"Cash",true,"UT",10,"Julioside",true,1821100,"Mae Reilly DVM","Shoes",26663,"7-27-2021","16:54:7",41.87,"6250 Princess Summit",321.30,231186,"Sleek Granite Chair","Kshlerin DDS",32.13,"Male"
true,"AMEX",false,"IN",10,"South Isaac",7404497,"redundant","Gavin McLaughlin Sr.","Outdoors, Automotive & Electronics",24962,"12-12-2020","10:38:23","quantify","762 Little Mews",220.50,853206,"Fantastic Concrete Computer","Auer V",22.05,"Male"
16.39,"AMEX",52.34,"HI",7,"Astridmouth",6447888,1180971,"Alek O'Conner","Clothing & Garden",94699,"10-13-2021","17:30:50",3262394,"609 Elinore Fords",241.64,124467,"Gorgeous Steel Pants","Lakin, O'Connell and Monahan",34.52,"Female"
77.70,"EWallet","backing up","NC",2,"West Leifchester",4986404,7106912,"Reyna VonRueden","Health",87104,"7-26-2021","23:0:17","USB","36777 Rutherford Ways",122.10,737040,"Ergonomic Rubber Shoes","Wiegand-Tillman",61.05,"Male"
45.45,"MasterCard","pixel","AK",3,"Ardenfurt",31.79,"reboot","Arch Wisozk I","Automotive & Shoes",37721,"7-6-2021","19:11:32",18.40,"53452 Monahan Divide",121.77,567945,"Awesome Cotton Hat","Auer V",40.59,"Female"
4567625,"MasterCard","optical","ME",7,"South Alvahtown",1986150,90.42,"Estel Spinka","Garden",43414,"6-24-2021","15:39:22",26.40,"85260 Jerde Key",312.34,578597,"Awesome Cotton Pants","Considine PhD",44.62,"Male"
6737881,"AMEX",true,"NV",2,"Douglasborough","parsing",85.15,"Dr. Bernard Pfeffer","Outdoors & Clothing",97351,"10-13-2021","5:7:15",21.29,"5375 Art Forges",26.08,296485,"Incredible Wooden Shirt","Parisian, Wolff and Gorczany",13.04,"Male"
true,"Cash",23.55,"VT",9,"Darechester",59.72,false,"Sam Langosh","Electronics",75594,"9-11-2021","20:11:5",false,"256 Rohan Pass",68.58,291029,"Rustic Cotton Pants","Lakin, O'Connell and Monahan",7.62,"Female"
"matrix","Cash",false,"AR",7,"Port Aniyahville",false,false,"Kasandra Franecki","Electronics",23903,"10-15-2021","19:53:17",69.79,"1148 Delmer Crossroad",318.92,931029,"Sleek Rubber Shoes","Considine PhD",45.56,"Female"
false,"EWallet","generating","CO",6,"Pierreville",2176565,68.80,"Miss Josue Abshire","Kids",34461,"9-10-2021","17:10:32",6410740,"4220 Kaylin Viaduct",277.86,441600,"Ergonomic Concrete Shoes","Larkin-McClure",46.31,"Male"
14.75,"Cash","reboot","AR",2,"North Skye",true,8455260,"Dillon Glover","Books",21717,"3-8-2021","11:7:26",true,"98301 Elody Track",125.64,629589,"Gorgeous Concrete Shirt","Considine PhD",62.82,"Male"
6992883,"EWallet",82.45,"KY",2,"New Lorna",true,5207635,"Aaliyah Schaefer","Jewelery",74232,"10-7-2021","13:53:45","back up","375 Lula Groves",90.84,904727,"Fantastic Concrete Car","Larkin-McClure",45.42,"Male"
false,"Cash","IB","KY",2,"Wendellmouth",4884891,"back-end","Alberto Batz","Music",13579,"10-23-2021","20:41:16",1668770,"7782 Ratke Mills",93.04,505993,"Gorgeous Rubber Car","Larkin-McClure",46.52,"Female"
65.65,"EWallet",58839,"KY",7,"Hansenton",true,8869712,"Marques Shields","Clothing, Grocery & Automotive",29356,"9-27-2021","14:11:36","driver","8445 Walker Underpass",311.22,618600,"Small Wooden Shoes","Parisian, Wolff and Gorczany",44.46,"Male"
true,"EWallet",3898132,"SD",3,"East Caden",5650472,true,"Miss Oma Dooley","Beauty, Health & Movies",10130,"10-4-2021","9:44:25",true,"15906 Dietrich Trail",102.90,307597,"Fantastic Cotton Hat","McClure, Block and Franecki",34.30,"Male"
4319891,"AMEX",true,"VT",6,"South Rodger",true,25.80,"Matteo Cartwright","Toys",50159,"5-16-2021","18:21:16",22.24,"2280 Ernser Ramp",240.78,538301,"Small Cotton Gloves","Larkin-McClure",40.13,"Female"
71.79,"EWallet",35.07,"MI",10,"New Aida",58.33,true,"Andy Bauch III","Baby & Books",39097,"1-9-2021","17:4:6",true,"19384 Eula Lights",514.20,201417,"Incredible Steel Table","Kshlerin DDS",51.42,"Female"
"circuit","MasterCard",7441365,"ME",7,"Mireyaburgh",53.43,true,"Reynold O'Kon PhD","Games",49254,"10-4-2021","4:20:26",52.16,"467 Micheal Summit",667.80,915215,"Rustic Steel Hat","Considine PhD",95.40,"Female"
69.01,"AMEX",92.84,"OR",4,"Mittiebury","connect","hacking","Mrs. Darrel Kunde","Outdoors & Beauty",32920,"8-31-2021","17:1:49",986989,"966 Elinor Shores",189.72,944801,"Ergonomic Plastic Table","Larkin-McClure",47.43,"Female"
"navigate","MasterCard",26.95,"NV",1,"West Norene",49.82,"SCSI","Jakob Breitenberg II","Baby & Health",46858,"10-21-2021","18:44:5",87.32,"156 Isadore Mill",11.14,648340,"Ergonomic Rubber Chair","Considine PhD",11.14,"Male"
"copying","Cash",5362741,"GA",8,"West Skylafurt",78.35,true,"Zena Cremin III","Toys, Movies & Music",49889,"10-1-2021","11:53:51",83.68,"191 Volkman Glens",405.60,367982,"Ergonomic Plastic Gloves","Parisian, Wolff and Gorczany",50.70,"Male"
true,"EWallet",88.14,"NE",6,"North Bryonside",8994052,4360137,"Mr. Josiah Schumm","Books",59384,"10-16-2021","17:40:56","SSL","60889 Effertz Island",138.78,799739,"Intelligent Plastic Pants","Wiegand-Tillman",23.13,"Male"
7592022,"MasterCard",3210564,"UT",9,"East Dulceview","transmitting",true,"Haven Grady","Grocery & Movies",39950,"9-4-2021","21:33:35",4901972,"551 Wilmer Avenue",460.35,301239,"Rustic Rubber Gloves","Considine PhD",51.15,"Female"
95.80,"Cash",55.92,"GA",2,"Nolanton",false,"bypassing","Robin Metz","Electronics",49445,"6-16-2021","21:55:18",77.68,"719 Daisha Mill",85.22,951288,"Incredible Granite Chair","Armstrong, Strosin and Altenwerth",42.61,"Female"
2408330,"EWallet",423176,"IA",9,"North Deanna",true,76.35,"Rigoberto Dooley","Movies & Outdoors",71161,"6-1-2021","12:3:58",false,"9474 DuBuque Estate",636.39,430740,"Gorgeous Granite Shirt","McClure, Block and Franecki",70.71,"Male"
true,"EWallet",true,"NJ",9,"Bodeshire",38.60,0.88,"Dr. Gladyce McClure","Electronics & Sports",85353,"8-30-2021","23:59:55",24.73,"59242 Cara Grove",320.76,771754,"Intelligent Wooden Shoes","Parisian, Wolff and Gorczany",35.64,"Male"
1182472,"Cash","virtual","FL",5,"West Cale",73.29,4447938,"Jerrod MacGyver","Beauty & Tools",79540,"9-8-2021","2:11:55",true,"949 Bette Cape",142.35,547992,"Awesome Cotton Chair","Kshlerin DDS",28.47,"Male"
4.75,"Visa","generating","MA",8,"Olafport","online",false,"Mrs. Christian Klein","Electronics & Grocery",19118,"3-4-2021","8:33:33","XSS","8486 Ashlee Dale",599.60,726858,"Rustic Rubber Gloves","Armstrong, Strosin and Altenwerth",74.95,"Female"
true,"Cash","back-end","KS",4,"Schummmouth",1368966,5659461,"Nola Gorczany","Baby & Garden",68330,"2-18-2021","3:2:42","ADP","879 Kamryn Locks",255.36,559899,"Small Cotton Hat","Auer V",63.84,"Female"
"feed","EWallet","virtual","NE",3,"Cassandreport",3593867,"reboot","Darrel Stamm","Beauty & Toys",20272,"12-1-2020","13:28:43",56.10,"6473 Deckow Lakes",270.03,552187,"Incredible Wooden Shoes","Parisian, Wolff and Gorczany",90.01,"Female"
7968115,"Visa",8460580,"OR",10,"East Edythe",true,82.35,"Mr. Naomie McGlynn","Industrial & Music",95759,"10-18-2021","6:6:26","copying","404 Muhammad Island",211.90,935399,"Fantastic Wooden Table","Larkin-McClure",21.19,"Female"
false,"EWallet",true,"KY",6,"New Macie",87.12,false,"Carmelo Lindgren","Sports",96991,"7-8-2021","18:3:39",5456246,"41983 Guido Ramp",569.46,399262,"Ergonomic Cotton Chair","Armstrong, Strosin and Altenwerth",94.91,"Female"
true,"EWallet",true,"NY",1,"Makenzieview",82.59,true,"Micaela Mayer DDS","Garden, Outdoors & Books",28948,"5-9-2021","12:8:38",false,"179 Charity Path",2.17,611700,"Awesome Wooden Gloves","Auer V",2.17,"Male"
21.03,"MasterCard",84.36,"KS",10,"Boehmmouth",2662127,"RSS","Emmet Kutch Jr.","Movies",47889,"9-28-2021","16:1:57","copying","4625 Ali Squares",781.00,741861,"Small Rubber Chair","Considine PhD",78.10,"Female"
"sensor","EWallet",true,"SD",3,"South Ramon",5837455,57.49,"Elza Orn Sr.","Clothing & Grocery",31947,"6-21-2021","21:48:29","parse","50330 Hailie Crossroad",118.23,499287,"Practical Cotton Chair","Wiegand-Tillman",39.41,"Male"
40.17,"Visa",68494,"OK",1,"Schaeferbury","navigate",62.52,"Miss Candace Robel","Toys",34319,"7-2-2021","6:14:35",3628663,"345 Lindgren Trail",78.93,513788,"Incredible Plastic Pants","Larkin-McClure",78.93,"Male"
"XML","MasterCard",false,"LA",1,"New Jerome",8761077,6111091,"Ms. Christophe Watsica","Movies, Grocery & Computers",99951,"7-16-2021","2:24:57","navigate","6633 Madie Dam",31.40,591881,"Sleek Concrete Computer","Larkin-McClure",31.40,"Female"
3125007,"Cash","auxiliary","MO",8,"West Kristina",4115902,5277927,"Maida Feeney","Home",85913,"8-6-2021","14:6:1",2183693,"14057 Vandervort Estates",105.60,887536,"Rustic Concrete Gloves","Considine PhD",13.20,"Male"
true,"Visa",30.36,"UT",2,"North Kaylinstad",488282,"hack","Quincy Witting","Electronics & Beauty",19772,"10-2-2021","17:47:6","synthesize","16354 Koepp Isle",158.96,417415,"Gorgeous Rubber Car","Auer V",79.48,"Female"
false,"AMEX",false,"IL",9,"South Kadinbury",89.01,38.48,"Gerry Lang MD","Automotive & Books",47698,"2-19-2021","8:39:45",72.07,"518 Rutherford Pass",281.16,453500,"Ergonomic Cotton Car","Kuphal, Spencer and Blanda",31.24,"Female"
true,"Visa",20.37,"AK",5,"Port Dockmouth",false,6.77,"Irving Lockman","Jewelery",12312,"9-9-2021","9:34:46",false,"99498 Vandervort Pike",438.40,562346,"Intelligent Rubber Table","Kuphal, Spencer and Blanda",87.68,"Female"
92.78,"AMEX","parsing","MI",4,"North Elwynborough",79.01,true,"Ayden Kuphal","Baby",41069,"10-19-2021","1:43:4",false,"8188 Turcotte Knolls",57.52,753448,"Fantastic Plastic Computer","Wiegand-Tillman",14.38,"Male"
"input","Visa","program","NY",10,"East Naomi","neural",8882278,"Augustus Volkman","Baby & Health",96473,"9-2-2021","7:7:13",8960929,"782 Rupert Plaza",577.10,254151,"Incredible Wooden Shoes","Lakin, O'Connell and Monahan",57.71,"Female"
"quantify","MasterCard","open-source","DE",6,"Port Santosmouth",true,6545481,"Mrs. Dena Wilkinson","Grocery, Music & Computers",33815,"8-8-2021","5:52:33","transmit","4864 Wolf Lodge",454.74,377327,"Gorgeous Plastic Chair","Lakin, O'Connell and Monahan",75.79,"Female"
"synthesizing","EWallet",true,"MT",10,"Reichertbury",9482611,true,"Reva Wehner","Garden & Industrial",81955,"9-25-2021","17:48:48","application","89223 Ciara Ridges",508.80,236599,"Practical Steel Computer","Considine PhD",50.88,"Male"
3215593,"AMEX",2741794,"OR",7,"New Orahaven",2449286,true,"Annetta Collier","Music, Jewelery & Movies",66940,"1-30-2021","16:58:51","port","25253 Ullrich Trail",390.88,340050,"Awesome Rubber Hat","Considine PhD",55.84,"Female"
55.90,"MasterCard","calculating","MT",4,"Bartholomeburgh","multi-byte",false,"Enos Mills DDS","Home & Sports",24104,"9-30-2021","3:38:24","SMS","8224 Krystel Burgs",32.80,340966,"Ergonomic Wooden Shirt","Auer V",8.20,"Male"
false,"Visa",74.10,"OK",6,"Grimesstad",3332187,"haptic","Laurine Willms III","Garden",46992,"7-21-2021","9:42:21",96.27,"655 Shanahan Views",34.32,861221,"Ergonomic Wooden Chair","Wiegand-Tillman",5.72,"Male"
false,"Visa",false,"AL",5,"Bradyside",false,"PNG","Rubie Zieme","Movies & Health",54768,"3-4-2021","22:56:26",5946374,"6307 Watsica Crest",466.00,612073,"Intelligent Plastic Gloves","Kshlerin DDS",93.20,"Male"
false,"AMEX",30.68,"AL",7,"Lake Jasminview",67.04,true,"Ada Osinski","Shoes",12624,"8-21-2021","4:45:46","RAM","93491 Kertzmann Corners",80.36,727551,"Small Rubber Hat","Parisian, Wolff and Gorczany",11.48,"Male"
5.46,"AMEX","JBOD","DE",6,"Donnellyton","feed",3527365,"Lamont Walsh","Kids, Toys & Music",10569,"7-7-2021","15:20:7",false,"187 Andy Valley",596.76,953598,"Rustic Rubber Hat","Considine PhD",99.46,"Female"
610810,"Visa",false,"WY",2,"West Dana",26.67,"SMS","Brisa Simonis","Kids",47748,"8-4-2021","22:22:42","redundant","8454 Schimmel Crest",159.08,346814,"Intelligent Rubber Chair","Kshlerin DDS",79.54,"Female"
true,"Visa","transmitter","FL",4,"South Regan",6437495,false,"Laurianne Emard","Tools & Clothing",99448,"12-21-2020","22:12:29","synthesizing","220 Webster Mill",79.12,446221,"Ergonomic Wooden Car","Auer V",19.78,"Male"
false,"EWallet",6.50,"AK",8,"Jacobsview","TCP",false,"Lambert Botsford","Home, Computers & Music",27063,"7-28-2021","19:52:9",8846981,"3618 Alayna Plains",447.76,981116,"Small Wooden Shoes","McClure, Block and Franecki",55.97,"Female"
false,"AMEX",false,"MS",2,"Helmerstad",1923925,"quantifying","Jaren Koepp","Clothing",72243,"7-14-2021","9:33:57",true,"9761 Dawn Trafficway",99.42,639437,"Awesome Cotton Car","Larkin-McClure",49.71,"Male"
"neural","AMEX",1557169,"MI",8,"Weissnatport","SCSI",31.66,"Patrick Lakin","Baby",54053,"12-9-2020","6:46:7",false,"20211 Trudie Stravenue",612.64,746206,"Awesome Steel Shirt","Lakin, O'Connell and Monahan",76.58,"Male"
false,"MasterCard",false,"KS",7,"Lake Carmelo",false,26.37,"Ms. Larue Dach","Kids",50751,"9-10-2021","12:23:50",true,"538 Rafael Hills",132.79,525909,"Awesome Wooden Gloves","Larkin-McClure",18.97,"Male"
false,"MasterCard",35.05,"WY",10,"North Annettaville",true,33.78,"Claud Abshire","Music & Baby",72038,"8-5-2021","22:7:39",57.23,"3819 Kautzer Dale",368.80,542306,"Fantastic Concrete Car","Auer V",36.88,"Female"
"calculate","Cash",9258326,"AR",10,"Runolfssonland",false,"open-source","Linnie Gottlieb","Outdoors, Baby & Clothing",81960,"7-14-2021","0:32:38",99.33,"62475 Maymie Skyway",536.50,206863,"Practical Cotton Hat","Lakin, O'Connell and Monahan",53.65,"Male"
12.13,"Visa","haptic","ME",5,"Rosenbaumview",11.16,true,"Miles Ferry","Outdoors & Clothing",21986,"9-27-2021","21:38:53",3061924,"451 Anahi Brook",484.85,341316,"Sleek Wooden Shirt","Considine PhD",96.97,"Female"
4593728,"AMEX",3771554,"NM",6,"Susanburgh","quantifying",false,"Miss Kaela Windler","Jewelery & Garden",41290,"7-10-2021","7:50:59","RSS","3594 Rosalee Union",523.86,902584,"Small Steel Pants","Auer V",87.31,"Female"
false,"Cash","application","NE",1,"Browntown",false,0.36,"Evalyn Grimes","Sports, Music & Home",85611,"9-17-2021","18:20:22","synthesizing","572 Beier Park",32.74,626237,"Rustic Concrete Table","Considine PhD",32.74,"Male"
"neural","MasterCard",54.94,"NM",10,"Powlowskiport","capacitor",6538869,"Cordie Kozey","Books",45692,"5-26-2021","23:39:4","bypass","850 Cheyanne Spring",744.00,337169,"Sleek Concrete Car","Considine PhD",74.40,"Male"
false,"MasterCard",true,"IA",10,"Torreyburgh",74.29,true,"Alanna Beatty","Games",46037,"6-1-2021","8:12:29",72.61,"159 Moen Mill",904.90,836361,"Rustic Steel Table","Lakin, O'Connell and Monahan",90.49,"Female"
true,"AMEX",11.43,"FL",6,"Lake Edwardo",2053871,94.64,"Armani Dickens","Grocery",63469,"7-6-2021","13:27:46",30.19,"93433 Graham Inlet",24.72,291160,"Ergonomic Concrete Table","Parisian, Wolff and Gorczany",4.12,"Female"
true,"AMEX",6.91,"ID",4,"Boscofort",29.99,false,"Dr. Kayla Stoltenberg","Grocery & Books",17273,"9-29-2021","4:27:37","panel","7396 Reynolds Loop",363.28,313349,"Awesome Concrete Chair","Kshlerin DDS",90.82,"Male"
7992001,"Visa",true,"AK",6,"Zulaufbury",7631248,34.01,"Mr. Samanta Herzog","Shoes",23156,"4-12-2021","13:6:36",57.50,"5197 Jacobs Centers",112.98,879592,"Incredible Granite Car","Lakin, O'Connell and Monahan",18.83,"Male"
false,"Cash",false,"CT",6,"North Feltonview","quantifying","circuit","Nelson Morissette IV","Outdoors, Shoes & Health",67513,"8-31-2021","14:11:5",26.00,"760 McLaughlin Rue",304.62,568553,"Ergonomic Granite Car","Considine PhD",50.77,"Female"
51.21,"AMEX",2790280,"WA",4,"South Antoniashire",37.44,false,"Robbie Cremin","Music, Home & Baby",98016,"10-20-2021","5:38:15",9257867,"353 Jamey Key",241.04,659343,"Fantastic Granite Gloves","Wiegand-Tillman",60.26,"Female"
5493236,"Cash",2345073,"NH",10,"Beattyberg",4341443,"array","Keely Schamberger IV","Tools & Grocery",18702,"8-29-2021","11:42:50",3737056,"805 Thomas Junctions",223.20,911295,"Small Plastic Car","Wiegand-Tillman",22.32,"Male"
true,"Visa",1717217,"ND",7,"West Veronamouth","SDD",63.81,"Rebeka Mayer","Kids, Toys & Beauty",68324,"4-14-2021","7:52:7",1161957,"684 Carmela Falls",185.22,843764,"Gorgeous Cotton Chair","Considine PhD",26.46,"Female"
true,"Visa",false,"AL",9,"Wavaburgh","open-source",false,"Jadyn Runolfsdottir","Computers",92298,"10-20-2021","16:50:55",57.68,"684 Ewald Rapid",176.22,454910,"Incredible Steel Computer","McClure, Block and Franecki",19.58,"Male"
9007021,"MasterCard","indexing","KS",4,"Borerland","PCI",75.94,"Brice Cruickshank","Automotive",92728,"7-23-2021","7:46:0",99.21,"182 Jones River",5.84,831367,"Practical Rubber Table","Armstrong, Strosin and Altenwerth",1.46,"Male"
true,"Visa",true,"OR",2,"Delphiaton",true,29.43,"Kaden Mann","Movies, Shoes & Tools",65464,"9-13-2021","7:29:5","digital","3491 Mills Haven",13.14,617462,"Awesome Cotton Chair","Larkin-McClure",6.57,"Female"
false,"AMEX",false,"AK",10,"New Ceasar",81.30,true,"Mr. Kamille Mayert","Baby & Grocery",47553,"9-3-2021","5:26:37",false,"966 Dare Estates",690.20,900569,"Fantastic Concrete Shoes","Lakin, O'Connell and Monahan",69.02,"Male"
1577846,"EWallet","open-source","RI",9,"Austenbury",4489060,"quantify","Fabian Boyer","Tools, Computers & Health",71266,"10-23-2021","14:1:38",true,"826 Kessler Point",506.70,370728,"Rustic Concrete Hat","Wiegand-Tillman",56.30,"Female"
"ADP","Cash",1.43,"VA",4,"New Avisport","XML",true,"Lemuel Kub Jr.","Sports & Movies",53342,"1-1-2021","17:49:46",8741683,"945 Nico Lights",196.64,646994,"Awesome Cotton Table","Kshlerin DDS",49.16,"Male"
1329556,"EWallet",42.74,"WI",10,"Efrainport",4239211,"RSS","Mrs. Tyrique Bogisich","Books & Garden",37957,"10-10-2021","11:52:42",98.41,"10162 Gunnar Crossroad",682.50,687325,"Awesome Concrete Shoes","Lakin, O'Connell and Monahan",68.25,"Male"
84.82,"AMEX",true,"FL",6,"Greenfeldertown",true,true,"Bertrand Nienow Jr.","Garden, Home & Baby",57188,"10-14-2021","13:37:15",false,"175 Schmitt Avenue",305.76,757193,"Practical Wooden Chair","Kuphal, Spencer and Blanda",50.96,"Female"
true,"Visa",true,"IA",10,"Garlandfort",84.96,false,"Ms. Adrain Gislason","Automotive",20830,"7-29-2021","9:30:13","hard drive","275 Feest Knoll",978.50,189825,"Intelligent Rubber Pants","Lakin, O'Connell and Monahan",97.85,"Male"
31.37,"Cash",false,"IL",2,"Luciestad",true,false,"Kaela Lebsack","Books & Computers",40743,"7-4-2021","19:56:18",22.60,"113 Barton Motorway",52.34,576458,"Fantastic Plastic Pants","Wiegand-Tillman",26.17,"Female"
47.82,"AMEX",false,"MD",10,"East Esmeraldabury",4.89,"program","Micheal Nitzsche","Electronics, Music & Shoes",52705,"10-20-2021","4:22:12","index","71252 Cummings Greens",720.80,425569,"Intelligent Concrete Gloves","McClure, Block and Franecki",72.08,"Male"
3759475,"MasterCard",97655,"IL",8,"Edythville",true,"open-source","Giovani Heller","Grocery",11279,"7-11-2021","14:30:21",6562129,"325 Alfreda Underpass",6.80,626116,"Awesome Concrete Pants","Considine PhD",0.85,"Male"
3589458,"MasterCard","reboot","MN",3,"Jeanieland","circuit",435964,"Edmund Dietrich","Home & Kids",90365,"7-12-2021","7:25:27",159277,"645 Emmerich Field",158.79,102649,"Sleek Cotton Hat","Wiegand-Tillman",52.93,"Male"
8234748,"EWallet","system","NY",6,"New Giovannyberg","bypass",false,"Elmore Becker","Clothing",15783,"8-31-2021","6:12:33",723020,"9212 Hartmann Road",172.38,707524,"Ergonomic Cotton Chair","McClure, Block and Franecki",28.73,"Female"
1594367,"Visa","redundant","TN",5,"South Norberthaven",3455049,"PNG","Dr. Johanna Lubowitz","Music & Toys",39835,"1-10-2021","12:38:35",28.88,"901 Swift Estates",421.30,153904,"Incredible Wooden Pants","Parisian, Wolff and Gorczany",84.26,"Male"
"connecting","EWallet","generate","TX",4,"West Nilshaven",7582531,34.66,"Carolyn Quigley","Games, Shoes & Automotive",17322,"9-25-2021","19:33:6",31.08,"39021 Zetta Knolls",258.40,913109,"Ergonomic Cotton Shoes","Considine PhD",64.60,"Male"
2764868,"EWallet",8549097,"AZ",1,"South Dandre",false,true,"Lawrence Schneider","Outdoors",62007,"10-11-2021","11:20:31",false,"53098 Victor Lock",36.00,126272,"Awesome Steel Shoes","Lakin, O'Connell and Monahan",36.00,"Female"
24.12,"Visa",true,"GA",5,"Lockmantown",84.31,false,"Reagan Weber","Sports, Games & Music",95814,"5-6-2021","14:55:8","XML","44916 Kling Skyway",249.20,117714,"Ergonomic Rubber Shoes","Kuphal, Spencer and Blanda",49.84,"Female"
5072386,"Visa",92.18,"MT",5,"Donnellyberg",5334182,"digital","Coleman Hauck","Toys & Tools",27806,"4-8-2021","14:55:26",false,"216 Wintheiser Highway",68.35,459526,"Incredible Concrete Chair","Kshlerin DDS",13.67,"Male"
"bypassing","MasterCard","solid state","VT",9,"Lake Fay",true,36.37,"Demarcus Feest","Music",35062,"9-26-2021","7:44:49",32.94,"994 Chloe Parkway",780.30,798131,"Gorgeous Rubber Shirt","Parisian, Wolff and Gorczany",86.70,"Male"
28.43,"EWallet","solid state","IL",9,"Deionshire","microchip",8957032,"Dr. Annabelle Ryan","Electronics",49652,"5-6-2021","0:7:34","back-end","74114 Zoila Lake",652.77,479184,"Small Plastic Hat","Kshlerin DDS",72.53,"Female"
"navigating","MasterCard",9291265,"AL",7,"Elwinhaven",19.26,"SDD","Rey Hettinger","Electronics & Games",68731,"4-1-2021","3:34:52",79.48,"6239 Vicente Locks",599.41,410072,"Rustic Plastic Car","Larkin-McClure",85.63,"Male"
"bypassing","AMEX","override","RI",8,"East Gideon",97.61,false,"Mrs. Leonie Bayer","Tools & Books",46897,"7-29-2021","4:28:49","mobile","197 Lehner Circle",279.84,175457,"Fantastic Wooden Shoes","Lakin, O'Connell and Monahan",34.98,"Female"
true,"MasterCard",34.89,"NV",6,"Hickleside","indexing",false,"Ruthie Ferry","Industrial & Tools",48178,"7-11-2021","22:31:36",true,"641 Emiliano Spring",315.60,433886,"Sleek Concrete Car","Larkin-McClure",52.60,"Female"
true,"AMEX",false,"OK",2,"Elenafort",false,35.82,"Phoebe Murazik","Health",74549,"6-30-2021","20:5:46",8.29,"40225 Phyllis Plaza",71.10,360262,"Sleek Granite Shirt","Lakin, O'Connell and Monahan",35.55,"Male"
true,"Visa",54.62,"AZ",2,"Alessiachester",50.72,"interface","Cristian Thiel DDS","Sports, Kids & Home",78702,"10-17-2021","10:33:4",10.91,"1242 Jenkins Ridge",168.74,235196,"Rustic Steel Table","Considine PhD",84.37,"Male"
35.82,"MasterCard",33.07,"AK",9,"Glennieborough",55.75,false,"Silas Ruecker","Home",15860,"9-10-2021","11:45:30",6848722,"4829 Beau Ridge",278.91,149044,"Rustic Cotton Car","Considine PhD",30.99,"Male"
