Date,monitor,Gender,PostalCode,Department,InvoiceId,Store,State,Total,CustomerName,Time,Address,protocol,ProductPrice,Product,Quantity,City,hard drive,port,sensor,PaymentType
"8-29-2021",58.86,"Female",80341,"Games",645046,"Lakin, O'Connell and Monahan","IL",383.76,"Mr. Cletus Terry","4:22:32","728 Hettinger Mountains","navigate",63.96,"Small Rubber Shirt",6,"North Dorthamouth",64.32,26.86,4759467,"AMEX"
"8-24-2021","SQL","Male",10876,"Electronics",484464,"Parisian, Wolff and Gorczany","NC",7.23,"Rocio Hauck","11:11:2","37016 Jorge Dale",62.95,2.41,"Rustic Concrete Car",3,"Port Kyleighfurt","multi-byte",5.69,640229,"Visa"
"3-15-2021","cross-platform","Male",82086,"Music",150885,"Lakin, O'Connell and Monahan","KY",262.24,"Mikayla King","8:22:28","40292 Janessa Crescent",3821395,32.78,"Intelligent Concrete Computer",8,"North Alize",98.83,88.87,false,"Cash"
"6-28-2021",true,"Male",85567,"Tools, Home & Books",547962,"Kshlerin DDS","UT",137.86,"Fabian Douglas","4:31:25","5877 Abdiel Lights",61.11,68.93,"Awesome Concrete Computer",2,"Jeromyton",false,56.61,46.34,"AMEX"
"10-15-2021",true,"Female",77796,"Music & Outdoors",203701,"Larkin-McClure","MT",290.08,"Bridie Bradtke","13:30:9","82995 Marvin Lock",true,72.52,"Rustic Plastic Computer",4,"Broderickfurt",true,18.00,68.42,"Cash"
"9-13-2021",20.47,"Male",33807,"Movies",539402,"Kshlerin DDS","WA",863.40,"Monserrat Senger","3:59:37","53623 Fredrick Courts",90.51,86.34,"Small Steel Gloves",10,"Port Lilianashire",false,9024902,8754275,"AMEX"
"10-25-2021",82.53,"Female",18160,"Kids & Music",947148,"Lakin, O'Connell and Monahan","NC",211.84,"Leon Lehner","10:16:9","1851 Joaquin Vista","synthesizing",26.48,"Rustic Granite Shoes",8,"Lake Angelica",48.37,true,false,"MasterCard"
"8-7-2021",true,"Female",60843,"Garden & Baby",752578,"Wiegand-Tillman","NV",696.20,"Xavier Haley","2:55:51","477 Russel Island",6261691,69.62,"Intelligent Granite Shoes",10,"South Josiah",43.08,true,6330291,"Cash"
"10-8-2021","ADP","Male",57009,"Home",157925,"Auer V","MN",8.02,"Esperanza Schaefer","8:8:50","1323 Kozey Crest",false,4.01,"Gorgeous Granite Pants",2,"Aleenborough",709182,true,"indexing","AMEX"
"10-4-2021",6.31,"Male",82420,"Electronics, Jewelery & Movies",982519,"Kshlerin DDS","WA",737.44,"Grady Kirlin","22:9:14","1683 Melissa Plains","PNG",92.18,"Fantastic Wooden Hat",8,"Hilpertport","index","solid state","synthesize","AMEX"
"4-13-2021",1.82,"Male",29202,"Shoes, Grocery & Jewelery",408654,"Auer V","MT",250.48,"Mr. Frank Feest","20:35:59","7522 Bashirian Fords","virtual",31.31,"Practical Cotton Chair",8,"Marcelinaborough","bluetooth","XSS","generate","MasterCard"
"8-11-2021",69.55,"Female",12926,"Clothing & Beauty",891056,"Lakin, O'Connell and Monahan","NE",124.44,"Kareem Lemke Sr.","19:3:0","639 Bayer Stream",39.20,41.48,"Gorgeous Cotton Shirt",3,"Karolannfort",74.98,false,5539772,"Cash"
"9-14-2021",67.38,"Female",92297,"Computers & Toys",718625,"Considine PhD","ID",383.64,"Dr. Austen Harber","10:6:2","3423 Elaina Pine",true,63.94,"Fantastic Granite Shirt",6,"Louveniaborough",73.57,true,true,"EWallet"
"10-17-2021",false,"Female",95928,"Jewelery & Computers",404284,"Kuphal, Spencer and Blanda","GA",729.40,"Kameron Quitzon","11:26:23","48262 Schiller Rapids",98.26,72.94,"Ergonomic Cotton Computer",10,"West Milfordbury",22.48,true,true,"Visa"
"10-11-2021",2780464,"Male",25670,"Automotive & Grocery",652187,"Considine PhD","DE",8.48,"Desiree Ratke","14:36:24","94647 Marisol Summit",true,1.06,"Ergonomic Granite Computer",8,"Maddisonside","XML",6165525,69.39,"EWallet"
"5-5-2021",58.55,"Female",57171,"Grocery & Toys",277418,"Larkin-McClure","VA",70.87,"Burley Rempel","18:23:22","2090 Wilderman Extensions","override",70.87,"Awesome Granite Shirt",1,"Cameronmouth",false,41.44,3058983,"Visa"
"6-7-2021",false,"Male",77051,"Industrial",585591,"Lakin, O'Connell and Monahan","IA",187.32,"Rosella Lockman","4:9:59","67039 Treutel Station",3634406,31.22,"Awesome Steel Chair",6,"Lake Hazleborough","multi-byte",9.92,5408683,"AMEX"
"10-18-2021","solid state","Male",88168,"Garden & Health",504840,"Kuphal, Spencer and Blanda","IN",195.39,"Libbie Pfannerstill","9:48:10","701 Oscar Lock",6788883,21.71,"Small Steel Chair",9,"South Terrenceborough",1260862,"FTP",5780909,"EWallet"
"10-15-2021","SMS","Male",49331,"Home, Computers & Health",976772,"McClure, Block and Franecki","IA",38.52,"Ms. Mireya Gerlach","2:59:22","7606 Nikolaus Track",2919082,6.42,"Fantastic Rubber Car",6,"South Aliyah",5335562,false,true,"Visa"
"9-25-2021",1954504,"Female",96691,"Computers, Health & Movies",380193,"Larkin-McClure","IN",462.56,"Gunner Lang","12:54:23","4285 Summer Overpass",84.16,66.08,"Awesome Granite Table",7,"South Victoriastad",81.49,7939537,true,"MasterCard"
"10-4-2021",85.75,"Female",30063,"Tools & Home",482384,"Larkin-McClure","AK",414.24,"Casandra Bernier III","18:48:56","3994 Casimer Rapids",2563115,69.04,"Sleek Rubber Gloves",6,"Doramouth",false,78.77,28.63,"Cash"
"7-10-2021",8.24,"Male",76975,"Tools & Shoes",663949,"Lakin, O'Connell and Monahan","AL",646.90,"Samir Jakubowski","5:29:14","381 Reba Stravenue",false,64.69,"Fantastic Rubber Pants",10,"Lake Kenyonside",13.66,true,"bypassing","AMEX"
"10-17-2021",15.63,"Male",60760,"Books & Electronics",772023,"Auer V","MI",74.56,"Rigoberto Hettinger","5:27:23","751 Deangelo Motorway",false,18.64,"Awesome Plastic Shoes",4,"South Silas",true,"application","cross-platform","EWallet"
"6-29-2021",3970048,"Female",34403,"Electronics",351951,"Kuphal, Spencer and Blanda","CT",24.48,"Rogers Mosciski","22:37:26","73591 Greg Key",9290327,2.72,"Sleek Concrete Gloves",9,"South Nobleshire",42.77,false,8523390,"Cash"
"10-14-2021",32.93,"Female",60749,"Sports & Books",221529,"Wiegand-Tillman","AL",31.20,"Emerson Pfannerstill","5:1:2","89399 Braun Prairie",true,5.20,"Fantastic Granite Shoes",6,"East Garretthaven",2065525,27.52,90678,"Cash"
"10-19-2021",1106811,"Male",24310,"Health & Outdoors",614912,"Lakin, O'Connell and Monahan","OR",738.40,"Alex Schaefer","18:29:11","86866 Stark Island","COM",73.84,"Small Steel Hat",10,"South Lempi",false,false,3912863,"EWallet"
"10-19-2021",8053911,"Female",46376,"Home, Jewelery & Garden",388125,"Auer V","ND",131.56,"Romaine Welch","22:29:49","2331 Katharina Path",true,32.89,"Gorgeous Plastic Chair",4,"Rafaelhaven",87.52,7297261,5974245,"Cash"
"10-12-2021",76.89,"Male",90906,"Outdoors",779012,"Armstrong, Strosin and Altenwerth","MN",45.07,"Dr. Leone Sporer","20:24:43","97096 Sonia Via",2931364,45.07,"Ergonomic Plastic Hat",1,"Madisynbury",82.42,1405869,31.91,"Cash"
"10-15-2021",true,"Male",19804,"Games & Clothing",435747,"Kuphal, Spencer and Blanda","NH",223.35,"Cleora Torphy MD","17:52:1","9592 Zulauf Plaza",80.60,44.67,"Incredible Cotton Computer",5,"Lake Granvilleview",false,94.17,57.35,"EWallet"
"10-16-2021",33.00,"Male",97988,"Industrial & Shoes",746682,"McClure, Block and Franecki","NE",72.31,"Madaline Welch","15:25:32","15481 Zack Meadow",false,10.33,"Rustic Steel Shirt",7,"North Corbinburgh",65.42,28.96,91.45,"AMEX"
"6-12-2021",true,"Female",65478,"Sports & Kids",337697,"Armstrong, Strosin and Altenwerth","MO",292.76,"Enrico Nicolas","23:11:58","88344 Johnson Station",37.89,73.19,"Rustic Plastic Computer",4,"Lake Karl",true,"transmitter",true,"AMEX"
"8-2-2021",90.19,"Female",87115,"Tools, Shoes & Music",449590,"Wiegand-Tillman","WV",153.51,"Adelbert Dare III","14:4:44","619 Daugherty Run",false,51.17,"Fantastic Steel Table",3,"South Alfreda","bypass",false,4190697,"MasterCard"
"9-30-2021","SCSI","Male",48006,"Outdoors & Clothing",671589,"Kshlerin DDS","HI",100.00,"Leonora Stark","19:16:7","330 Turcotte Cape",true,10.00,"Practical Plastic Shoes",10,"West Boydshire",true,83.21,"SDD","EWallet"
"8-29-2021",7854051,"Female",12444,"Kids, Electronics & Music",462830,"Lakin, O'Connell and Monahan","NM",111.69,"Aileen Monahan","8:19:45","87389 Pierre Island",7858285,12.41,"Small Plastic Hat",9,"New Henriview","pixel",78.29,40.98,"Visa"
"8-25-2021","hacking","Female",41256,"Home",250630,"Parisian, Wolff and Gorczany","ND",651.56,"Natalie Schiller","17:28:46","38930 Ken Fields",60.41,93.08,"Awesome Granite Shirt",7,"Arelyview",7828012,72.81,36.07,"AMEX"
"10-24-2021",12.75,"Female",44110,"Home, Automotive & Electronics",688959,"Larkin-McClure","ME",106.65,"Sarai Jacobson","6:25:37","887 Kunde Mountains",21.40,35.55,"Ergonomic Concrete Pants",3,"Cyrusville",8624153,80.84,2730741,"Cash"
"8-9-2021",false,"Male",29484,"Toys",416876,"Considine PhD","VA",51.31,"Summer Schneider I","12:37:57","775 Schiller Parks",true,7.33,"Small Concrete Pants",7,"New Thurman",true,5.35,false,"Cash"
"9-11-2021",52.18,"Female",41481,"Movies",206288,"Kuphal, Spencer and Blanda","NY",58.28,"Payton Borer","17:12:20","89768 Michele Greens",false,29.14,"Incredible Wooden Table",2,"Port Junetown",false,7.26,true,"Cash"
"10-23-2021",false,"Male",55328,"Kids & Books",473033,"Auer V","DE",633.92,"Stacey Ferry","12:43:58","55680 Lenna Ranch","alarm",90.56,"Sleek Concrete Chair",7,"Lavonhaven",false,41.66,4.52,"AMEX"
"8-20-2021","SAS","Female",47245,"Industrial & Home",207319,"McClure, Block and Franecki","NC",86.77,"Jennings Schoen","21:24:13","5290 Ebert Mall","panel",86.77,"Gorgeous Concrete Pants",1,"New Camillaburgh",5951365,74.40,"navigating","EWallet"
"2-11-2021","multi-byte","Male",44775,"Clothing",684928,"Kshlerin DDS","TX",305.12,"Chesley Haag","11:56:40","672 Abbott Plains",82.68,38.14,"Sleek Concrete Table",8,"Randalfurt",123249,"quantify","IB","Cash"
"7-5-2021",20.59,"Male",17737,"Garden",361907,"Auer V","SC",203.43,"Delores Brekke","3:15:46","4910 Conroy Extensions","SAS",67.81,"Intelligent Cotton Shirt",3,"Lake Lewisbury",13.72,"open-source",39.38,"Cash"
"10-20-2021",3229622,"Female",26685,"Sports",127277,"Larkin-McClure","NE",35.54,"Gennaro Schuppe","20:40:52","116 Kuhlman Ways",88.89,17.77,"Sleek Cotton Pants",2,"North Dayton",true,"hack",true,"Cash"
"9-6-2021","wireless","Female",50504,"Electronics & Garden",795171,"Auer V","HI",3.08,"Kyleigh Hauck","6:18:39","218 Pietro Stream",17.13,1.54,"Incredible Rubber Hat",2,"South Jeffry",false,15.43,65.90,"EWallet"
"4-25-2021",3198807,"Female",33019,"Industrial",999287,"Considine PhD","NV",58.70,"Stanley Keeling","9:19:8","6282 Bobbie Street",51.52,11.74,"Sleek Cotton Hat",5,"East Roderickhaven",4968730,"optical",7717191,"AMEX"
"8-2-2021",false,"Female",13451,"Clothing",248345,"Parisian, Wolff and Gorczany","NH",146.16,"Caleb Jacobs","10:38:24","2402 Jarrett Square",true,18.27,"Small Rubber Computer",8,"West Oceanechester",72.25,22.48,85.04,"Cash"
"8-25-2021",2392756,"Female",69281,"Automotive, Home & Sports",460521,"Considine PhD","ME",94.14,"Mr. Otha Hettinger","4:44:36","416 Jenifer Passage",false,94.14,"Small Cotton Gloves",1,"Lynchmouth",70.07,325110,"overriding","MasterCard"
"7-22-2021",3027353,"Female",13213,"Clothing",833729,"McClure, Block and Franecki","WV",848.10,"Ms. Asia Bailey","9:24:31","3375 Bert Junction",68.47,84.81,"Ergonomic Rubber Table",10,"North Juliotown",459674,true,false,"MasterCard"
"3-15-2021","programming","Male",84619,"Automotive",402299,"Kshlerin DDS","NV",134.44,"Sheldon Lockman Jr.","17:47:7","4924 Kara Cove",7287878,67.22,"Fantastic Plastic Car",2,"Walterborough","solid state","system","indexing","MasterCard"
"3-13-2021",true,"Male",26592,"Movies & Sports",981580,"Larkin-McClure","OR",275.70,"Dorothy Paucek","13:15:57","6029 D'Amore Spur","connect",27.57,"Ergonomic Rubber Computer",10,"Doyleshire",true,"driver",true,"MasterCard"
"8-3-2021","auxiliary","Male",48581,"Grocery & Kids",734503,"Wiegand-Tillman","MI",0.72,"Royal Kuvalis","12:50:57","8102 Hettinger Station",3983223,0.12,"Ergonomic Wooden Hat",6,"Terrytown","SCSI","calculating",3.07,"AMEX"
"10-13-2021",8346561,"Male",90442,"Grocery",203896,"Armstrong, Strosin and Altenwerth","WY",298.10,"Sam Schaden V","0:15:32","9737 Eda Orchard",5459969,29.81,"Rustic Granite Hat",10,"South Penelopeside",true,false,1.29,"AMEX"
"6-3-2021",697631,"Female",79908,"Beauty",745956,"Kshlerin DDS","PA",732.56,"Dr. Sallie Weimann","12:25:52","99791 Pearlie Meadows",59.81,91.57,"Ergonomic Plastic Chair",8,"Port Rudy",83.29,72.92,true,"MasterCard"
"8-16-2021",false,"Female",56756,"Books",252441,"Considine PhD","ME",802.90,"Hassan Reynolds IV","11:53:10","122 Cronin Mill",8.64,80.29,"Small Granite Computer",10,"Port Javonteland",71.39,false,false,"Visa"
"6-14-2021",true,"Male",27694,"Clothing, Sports & Beauty",385949,"Auer V","IN",233.73,"Tommie Hoppe III","10:42:43","7268 Jan Street",8027705,33.39,"Gorgeous Plastic Computer",7,"Amarichester",6.35,8137462,true,"AMEX"
"10-25-2021",3918793,"Female",88795,"Computers & Games",719397,"Considine PhD","MS",617.49,"Manley Lynch","1:52:18","4792 Kenny Skyway","wireless",68.61,"Practical Granite Computer",9,"Hyatttown","synthesizing",4112463,"PCI","AMEX"
"12-25-2020","SMTP","Female",41476,"Tools",135032,"Armstrong, Strosin and Altenwerth","AR",573.60,"Lucy Trantow Jr.","3:36:40","95109 Howe Creek",518881,71.70,"Awesome Steel Pants",8,"Lake Enriquefort","back up",true,31.14,"Visa"
"10-25-2021","synthesize","Female",37351,"Books, Baby & Sports",984309,"Wiegand-Tillman","TX",20.36,"Mandy Shields Sr.","0:7:0","9326 Buckridge Path",8276931,10.18,"Practical Wooden Gloves",2,"East Karlee","AGP",63.69,1801195,"MasterCard"
"9-7-2021",5.63,"Male",19361,"Grocery",603885,"Auer V","MD",443.40,"Luis Streich","22:30:51","7469 Carroll Isle",6910993,44.34,"Rustic Wooden Pants",10,"Idellaberg","RAM",5492311,414663,"Cash"
"8-21-2021",true,"Female",84571,"Electronics",780086,"Kshlerin DDS","CO",241.92,"Carmela Bode IV","11:50:59","7900 Kane Oval",true,30.24,"Sleek Granite Shoes",8,"Willowfurt","copy",false,7823404,"Visa"
"6-23-2021",89.43,"Male",30991,"Tools, Baby & Sports",872210,"Larkin-McClure","WI",455.00,"Jazmin Bailey Jr.","5:29:6","733 O'Reilly Curve",false,65.00,"Sleek Wooden Pants",7,"New Domingoland",94.81,false,false,"AMEX"
"9-14-2021",true,"Female",87660,"Toys, Electronics & Beauty",749933,"Larkin-McClure","NM",40.72,"Jerod Lubowitz","12:38:55","6338 Smith Skyway",4196140,10.18,"Fantastic Wooden Shirt",4,"Wiegandside",16.75,false,false,"Cash"
"10-12-2021",false,"Female",27139,"Electronics, Movies & Books",413289,"Armstrong, Strosin and Altenwerth","WV",54.80,"Mrs. Hettie Schoen","0:18:50","855 Emmitt Keys",15.77,27.40,"Practical Steel Car",2,"Port Daijaborough",true,40.96,3309833,"AMEX"
"8-14-2021",3.68,"Female",78267,"Grocery, Movies & Clothing",339426,"Kuphal, Spencer and Blanda","NE",526.16,"Mr. Demarco Breitenberg","20:40:41","24874 Aiyana Highway","compress",65.77,"Gorgeous Plastic Pants",8,"Port Aidaview",9.08,"overriding",5628091,"Cash"
"9-18-2021","solid state","Male",77059,"Movies, Automotive & Sports",776917,"Lakin, O'Connell and Monahan","NV",41.45,"Evelyn Boehm Sr.","3:26:2","387 Ryan Dam",true,8.29,"Small Rubber Hat",5,"New Melody",1357171,"program","mobile","Cash"
"10-10-2021",36.23,"Female",78701,"Grocery",392107,"Auer V","UT",491.20,"Mr. Patricia Bayer","23:39:12","792 Ernesto Points",5310751,49.12,"Sleek Rubber Chair",10,"Port Seamusville",56.20,"connecting","redundant","AMEX"
"9-3-2021",31.30,"Male",86958,"Books & Electronics",393350,"Considine PhD","MD",331.87,"Magdalen Collier","5:1:3","134 Buckridge Wells",false,47.41,"Rustic Concrete Computer",7,"Lake Santino","synthesize",false,4911708,"AMEX"
"2-20-2021",4522387,"Male",26326,"Music",879210,"Lakin, O'Connell and Monahan","IN",235.47,"Chelsey Corkery","7:56:13","13593 Koss Pine","reboot",78.49,"Gorgeous Wooden Pants",3,"Rodriguezmouth","alarm","calculating",6771730,"EWallet"
"9-30-2021",1739062,"Male",31832,"Jewelery, Shoes & Home",618650,"Wiegand-Tillman","CA",576.00,"Ms. Noel Rodriguez","14:28:21","931 Berniece Trafficway",67.22,72.00,"Fantastic Plastic Hat",8,"South Dustinside","overriding",false,40.30,"MasterCard"
"10-24-2021",true,"Female",50960,"Clothing & Automotive",677541,"McClure, Block and Franecki","NJ",174.88,"Ulises Lubowitz","18:50:26","42506 Schuppe Fields",89.10,87.44,"Small Concrete Chair",2,"Port Erin",true,88.10,true,"AMEX"
"7-13-2021",53.93,"Female",79501,"Jewelery",654152,"Parisian, Wolff and Gorczany","MO",186.45,"Lenore Roberts","9:30:36","132 Vivianne Locks",false,37.29,"Ergonomic Concrete Gloves",5,"Schoenstad",46.84,true,"transmitting","Cash"
"12-5-2020",true,"Male",21021,"Computers",128579,"Kuphal, Spencer and Blanda","PA",34.65,"Fernando Kautzer","2:38:29","89701 Noemy Lights",45.91,3.85,"Rustic Rubber Table",9,"Wunschmouth",true,71.12,573852,"MasterCard"
"7-2-2021",5944769,"Female",83043,"Tools, Outdoors & Kids",529187,"McClure, Block and Franecki","KS",155.36,"Tiana Schamberger","23:51:30","85445 Bartoletti Shoals","programming",77.68,"Sleek Plastic Chair",2,"South Jazmin","compress","optical","ADP","Visa"
"9-16-2021","ADP","Female",20344,"Outdoors, Music & Grocery",143012,"Parisian, Wolff and Gorczany","CA",101.08,"Alejandra Stiedemann","10:33:1","7907 Leuschke Way",5727936,50.54,"Rustic Cotton Table",2,"Lake Victor",true,"JSON","HTTP","EWallet"
"9-25-2021",false,"Male",86217,"Garden",823628,"Considine PhD","VT",833.30,"Cary Hermann","1:54:5","96090 Marvin Ramp","synthesizing",83.33,"Intelligent Rubber Table",10,"South Taniamouth",false,46.77,true,"EWallet"
"10-11-2021",true,"Female",62947,"Baby & Books",594065,"Auer V","MA",391.20,"Monroe VonRueden II","17:20:30","793 Von Ferry",19.31,78.24,"Fantastic Granite Table",5,"New Stewartland","hack","XSS",68.44,"AMEX"
"3-30-2021",true,"Female",72088,"Shoes, Health & Grocery",193080,"Parisian, Wolff and Gorczany","MO",505.80,"Eli Sanford","22:48:10","8917 Rogahn Islands",14.58,50.58,"Fantastic Steel Table",10,"Venastad",true,39.90,"transmitter","EWallet"
"9-25-2021",true,"Male",16071,"Music, Games & Shoes",623151,"Kuphal, Spencer and Blanda","DE",83.76,"Lance Hirthe","2:25:8","20346 Edison Dale",true,83.76,"Incredible Rubber Shoes",1,"Jaynefurt",71.85,true,3095604,"AMEX"
"7-30-2021",true,"Female",31342,"Electronics, Industrial & Automotive",219263,"Wiegand-Tillman","NV",74.69,"Abigale Lehner","18:32:17","34387 Monahan Knolls",10.47,74.69,"Rustic Concrete Chair",1,"New Clementinaton",1958262,false,86.43,"EWallet"
"9-10-2021",3051586,"Male",23189,"Shoes & Home",944404,"Kshlerin DDS","WI",453.33,"Dr. Claud Bayer","23:9:23","37773 Pollich Rue",68.90,50.37,"Fantastic Rubber Computer",9,"North Curtport",5.26,683907,2087128,"Visa"
"6-14-2021","synthesize","Male",17725,"Books",796091,"Larkin-McClure","WV",502.44,"Boyd Jacobi","7:11:27","869 Hamill Lane","SQL",83.74,"Awesome Wooden Table",6,"Padbergborough","synthesizing",true,"bandwidth","Cash"
"10-14-2021",64.20,"Male",34621,"Outdoors & Beauty",497780,"Armstrong, Strosin and Altenwerth","SD",100.60,"Grant Maggio II","18:43:54","5424 Alanis Shoals",6418905,20.12,"Gorgeous Cotton Pants",5,"Lake Jamisonside","back-end",true,true,"MasterCard"
"9-20-2021",true,"Female",73253,"Electronics, Garden & Shoes",458146,"Considine PhD","AZ",184.32,"Elise Lubowitz","15:50:19","551 Hamill Junctions","bypassing",61.44,"Intelligent Rubber Table",3,"Gastonfort",91.71,42.55,8588432,"AMEX"
"2-24-2021",81.54,"Female",77956,"Health",659487,"Auer V","DE",149.00,"Albin Leannon","7:52:37","357 Casey Islands",4048555,29.80,"Gorgeous Granite Shoes",5,"Quigleyside",90.35,49.94,true,"Cash"
"10-21-2021",true,"Male",60660,"Home & Sports",181066,"Auer V","SD",9.57,"Kevin Boyer","21:58:32","8115 Lowe Course",88.79,9.57,"Awesome Rubber Pants",1,"New Adrain",12.56,true,true,"EWallet"
"7-31-2021",true,"Female",24526,"Jewelery & Computers",348543,"Wiegand-Tillman","NV",207.83,"Roberta Dach V","15:58:31","35516 Myriam Rue",11.18,29.69,"Ergonomic Wooden Chair",7,"East Neha",true,36.12,96.04,"EWallet"
"10-15-2021",2.03,"Female",67156,"Baby, Shoes & Kids",674941,"Considine PhD","IN",68.80,"Ms. David Schaden","10:39:29","8990 Thaddeus Mount",3315255,13.76,"Practical Concrete Chair",5,"Eudorashire",96.03,5645818,912533,"Visa"
"8-26-2021",true,"Male",60496,"Clothing & Baby",423339,"Lakin, O'Connell and Monahan","NV",336.70,"Jarret Harvey","22:32:12","315 Towne Vista",94.39,33.67,"Fantastic Cotton Car",10,"O'Haraview","overriding","compressing",83.04,"EWallet"
"7-19-2021",8454038,"Male",34613,"Beauty",789593,"Parisian, Wolff and Gorczany","KY",400.68,"Desmond Torphy","6:46:22","6399 Joey Overpass","system",57.24,"Ergonomic Cotton Shirt",7,"South Arthur",false,"feed",false,"MasterCard"
"9-13-2021",5916648,"Male",89617,"Industrial, Jewelery & Shoes",459921,"Parisian, Wolff and Gorczany","VA",248.44,"Erick Kassulke DDS","20:47:0","7860 Solon Islands",5525472,62.11,"Fantastic Granite Chair",4,"East Nickfurt","EXE",7902736,855500,"EWallet"
"8-12-2021",6080488,"Male",94572,"Home, Outdoors & Toys",248497,"Parisian, Wolff and Gorczany","KS",330.54,"Cornelius Koepp","7:42:43","28393 Jacobson Spurs","bluetooth",55.09,"Fantastic Plastic Table",6,"Hamillburgh","reboot",7.93,false,"AMEX"
"3-15-2021","1080p","Male",34619,"Toys",818668,"Wiegand-Tillman","NE",14.88,"Doug Becker Jr.","0:0:20","2997 Felix Summit",false,2.48,"Gorgeous Concrete Computer",6,"Elisafurt",25.77,7464659,false,"MasterCard"
"7-24-2021",15.24,"Female",75659,"Garden, Shoes & Baby",951158,"Considine PhD","AK",704.40,"Robb Zemlak","2:51:52","96263 Lee Rest",8340908,88.05,"Sleek Granite Chair",8,"North Jarret",true,true,0.68,"EWallet"
"4-13-2021",50.15,"Female",54140,"Home, Baby & Computers",871989,"Lakin, O'Connell and Monahan","NV",680.76,"Carey Robel","1:47:52","19495 Dooley Burg",false,75.64,"Sleek Steel Gloves",9,"East Wendy",45.52,false,95.40,"Cash"
"6-24-2021",false,"Female",91652,"Electronics & Jewelery",826766,"Wiegand-Tillman","GA",563.29,"Viva Parker IV","10:54:27","5577 Spencer Plain",44.06,80.47,"Intelligent Plastic Hat",7,"Marcoshire",true,"transmitter","generate","EWallet"
"6-30-2021",false,"Male",71250,"Garden & Sports",401709,"Lakin, O'Connell and Monahan","UT",99.82,"Cathrine Wunsch","17:15:1","5120 Yolanda Courts",true,14.26,"Incredible Granite Hat",7,"North Marielastad",true,64.67,"array","MasterCard"
"10-7-2021","synthesize","Female",40774,"Health & Toys",898939,"Kuphal, Spencer and Blanda","AZ",209.90,"Libby Watsica","5:3:12","32520 Dooley Mount",74.33,41.98,"Practical Cotton Shirt",5,"Philipstad",5804832,87.14,"online","MasterCard"
"9-21-2021",26.67,"Male",63584,"Computers, Home & Kids",240170,"Lakin, O'Connell and Monahan","GA",56.23,"Wayne O'Conner","1:59:37","306 Joshuah Canyon",false,56.23,"Rustic Cotton Pants",1,"Anthonyborough",5562917,"sensor",true,"MasterCard"
"6-20-2021",6189740,"Female",74752,"Sports, Baby & Shoes",452116,"Larkin-McClure","CA",40.90,"Vilma Conroy","4:56:44","221 Alvis Villages","SAS",40.90,"Practical Rubber Pants",1,"Shanystad",true,"connect","auxiliary","Cash"
"6-21-2021",true,"Male",37163,"Grocery",698702,"Auer V","AR",123.27,"Mozelle Corkery","21:22:49","7734 Blanda Dam",true,41.09,"Sleek Cotton Shirt",3,"West Germaineport",21.38,false,47.40,"AMEX"
"4-23-2021",true,"Male",27085,"Music",923981,"Larkin-McClure","MN",133.14,"Mrs. Milton Stoltenberg","19:30:11","97534 Rowe Vista",4884122,22.19,"Intelligent Rubber Hat",6,"Port Jay",89.11,52.45,14.73,"Visa"
"10-4-2021",true,"Female",73788,"Movies, Toys & Beauty",199343,"Considine PhD","AR",512.28,"Daniella Wolf MD","18:15:26","61184 Blanda Lane",64.65,56.92,"Incredible Concrete Gloves",9,"Denesikberg",false,47.92,10.22,"Cash"
"10-22-2021",false,"Male",63170,"Kids, Movies & Toys",699646,"Kuphal, Spencer and Blanda","LA",137.79,"Coralie Heathcote","18:44:20","56758 Crist Manor",2883194,45.93,"Incredible Plastic Chair",3,"Titoshire",95.30,true,false,"MasterCard"
"10-11-2021","input","Female",68283,"Automotive & Industrial",963821,"Considine PhD","MT",59.00,"Alden Quitzon","8:11:25","40917 Greenfelder River",4289220,5.90,"Sleek Steel Hat",10,"Hazelstad",44.12,194669,true,"Cash"
"10-23-2021","FTP","Male",61752,"Outdoors & Electronics",326875,"Armstrong, Strosin and Altenwerth","IL",288.90,"Hassan Brekke","2:55:53","60303 Rosetta Village",false,96.30,"Fantastic Rubber Chair",3,"Kundeshire",3241202,1126096,"IB","Cash"
"4-29-2021",8120186,"Female",66952,"Sports",304196,"Wiegand-Tillman","KY",283.32,"Johnnie Hickle","15:26:28","462 Ferry Union",4.04,31.48,"Sleek Rubber Table",9,"Heidenreichside",4758000,2930223,1961316,"AMEX"
"10-9-2021",2799767,"Female",19608,"Jewelery, Home & Clothing",393592,"Auer V","LA",493.56,"Katheryn Anderson II","16:48:57","5195 Adams Ville","navigate",54.84,"Practical Concrete Gloves",9,"West Kiara",true,"navigating",true,"Visa"
"8-25-2021",27.33,"Female",79967,"Automotive, Baby & Tools",829895,"Kshlerin DDS","ND",30.21,"Nicklaus Sauer","9:56:29","844 Haley Tunnel",3264216,30.21,"Intelligent Cotton Shirt",1,"Port Shainaburgh",59.58,"GB",true,"MasterCard"
"5-8-2021","hack","Male",89962,"Grocery, Health & Music",680098,"Kshlerin DDS","ID",61.02,"Jarrett McGlynn","5:39:24","565 Junius Orchard",31.60,20.34,"Gorgeous Rubber Chair",3,"O'Reillychester",8357442,false,8122745,"Cash"
"8-30-2021",true,"Male",89769,"Tools",724415,"Parisian, Wolff and Gorczany","NY",28.23,"Graham Lueilwitz","15:12:55","243 Creola Shore",true,28.23,"Fantastic Wooden Hat",1,"South Ottilieshire",95.95,true,65.11,"Visa"
